cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,n_samples,dataset1,dataset2,score
2015-2016,ALQ160,LBDAPBSI,# days have 4/5 or more drinks in 2 hrs,Apolipoprotein (B) (g/L),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ160,LBXAPB,# days have 4/5 or more drinks in 2 hrs,Apolipoprotein (B) (mg/dL),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ160,LBCBB1,# days have 4/5 or more drinks in 2 hrs,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",alcohol,laboratory,True,original,original,,,ALQ_I,BFRPOL_I,10
2015-2016,ALQ151,LBXGLY,Ever have 4/5 or more drinks every day?,Glycideamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ151,LBDAPBSI,Ever have 4/5 or more drinks every day?,Apolipoprotein (B) (g/L),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ151,LBXAPB,Ever have 4/5 or more drinks every day?,Apolipoprotein (B) (mg/dL),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ151,LBCBB1,Ever have 4/5 or more drinks every day?,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",alcohol,laboratory,True,original,original,,,ALQ_I,BFRPOL_I,10
2015-2016,ALQ160,LBDACRLC,# days have 4/5 or more drinks in 2 hrs,Acrylamide comment code,alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ160,LBDGLYLC,# days have 4/5 or more drinks in 2 hrs,Glycidamide comment code,alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ160,LBXACR,# days have 4/5 or more drinks in 2 hrs,Acrylamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ160,LBXGLY,# days have 4/5 or more drinks in 2 hrs,Glycideamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ141U,LBXACR,"# days per week, month, year?",Acrylamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ141U,LBXGLY,"# days per week, month, year?",Glycideamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ141U,LBDAPBSI,"# days per week, month, year?",Apolipoprotein (B) (g/L),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ141U,LBXAPB,"# days per week, month, year?",Apolipoprotein (B) (mg/dL),alcohol,laboratory,True,original,original,,,ALQ_I,APOB_I,10
2015-2016,ALQ141U,LBCBB1,"# days per week, month, year?","2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",alcohol,laboratory,True,original,original,,,ALQ_I,BFRPOL_I,10
2015-2016,ALQ151,LBDACRLC,Ever have 4/5 or more drinks every day?,Acrylamide comment code,alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ151,LBDGLYLC,Ever have 4/5 or more drinks every day?,Glycidamide comment code,alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,ALQ151,LBXACR,Ever have 4/5 or more drinks every day?,Acrylamide (pmol/g Hb),alcohol,laboratory,True,original,original,,,ALQ_I,AMDGYD_I,10
2015-2016,URXUMS,ALQ160,"Albumin, urine (mg/L)",# days have 4/5 or more drinks in 2 hrs,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ101,"Albumin, urine (mg/L)",Had at least 12 alcohol drinks/1 yr?,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ110,"Albumin, urine (mg/L)",Had at least 12 alcohol drinks/lifetime?,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ120Q,"Albumin, urine (mg/L)",How often drink alcohol over past 12 mos,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ120U,"Albumin, urine (mg/L)","# days drink alcohol per wk, mo, yr",laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ130,"Albumin, urine (mg/L)",Avg # alcoholic drinks/day - past 12 mos,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ141Q,"Albumin, urine (mg/L)",# days have 4/5 drinks - past 12 mos,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ141U,"Albumin, urine (mg/L)","# days per week, month, year?",laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMS,ALQ151,"Albumin, urine (mg/L)",Ever have 4/5 or more drinks every day?,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMA,ALQ160,"Albumin, urine (ug/mL)",# days have 4/5 or more drinks in 2 hrs,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMA,ALQ101,"Albumin, urine (ug/mL)",Had at least 12 alcohol drinks/1 yr?,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
2015-2016,URXUMA,ALQ110,"Albumin, urine (ug/mL)",Had at least 12 alcohol drinks/lifetime?,laboratory,alcohol,True,original,original,,,ALB_CR_I,ALQ_I,10
