var1,var2,transform1,transform2,correlation,abs_correlation,n_samples
RIDAGEYR,BPXSY1,original,square,0.6877654907971955,0.6877654907971955,4507
RIDAGEYR,BPXSY1,original,original,0.6871988936749063,0.6871988936749063,4507
RIDAGEYR,BPXSY1,original,sqrt,0.6860469449609589,0.6860469449609589,4507
RIDAGEYR,BPXSY1,original,log,0.6843006401653249,0.6843006401653249,4507
DPQ_TOTAL,PAQ_MINS,original,sqrt,-0.6840679938900925,0.6840679938900925,4528
RIDAGEYR,BPXSY1,sqrt,original,0.6833161241577095,0.6833161241577095,4507
RIDAGEYR,BPXSY1,sqrt,sqrt,0.683293368453051,0.683293368453051,4507
RIDAGEYR,BPXSY1,sqrt,log,0.6826787155573819,0.6826787155573819,4507
RIDAGEYR,BPXSY1,square,square,0.6820152628572651,0.6820152628572651,4507
RIDAGEYR,BPXSY1,sqrt,square,0.681645718020949,0.681645718020949,4507
RIDAGEYR,BPXSY1,sqrt,inverse,-0.6796225619099223,0.6796225619099223,4507
RIDAGEYR,BPXSY1,original,inverse,-0.6789885831402508,0.6789885831402508,4507
DPQ_TOTAL,PAQ_MINS,sqrt,original,-0.6783868367472299,0.6783868367472299,4528
RIDAGEYR,BPXSY1,square,original,0.6772528972686689,0.6772528972686689,4507
DPQ_TOTAL,PAQ_MINS,original,original,-0.6766881655000123,0.6766881655000123,4528
RIDAGEYR,BPXSY1,log,log,0.6744367072060778,0.6744367072060778,4507
RIDAGEYR,BPXSY1,square,sqrt,0.6740166625859586,0.6740166625859586,4507
RIDAGEYR,BPXSY1,log,sqrt,0.673912003499185,0.673912003499185,4507
RIDAGEYR,BPXSY1,log,inverse,-0.6736777556470606,0.6736777556470606,4507
RIDAGEYR,BPXSY1,log,original,0.6728063798281683,0.6728063798281683,4507
RIDAGEYR,BPXSY1,square,log,0.6702041924869103,0.6702041924869103,4507
RIDAGEYR,BPXSY1,log,square,0.668925597504147,0.668925597504147,4507
RIDAGEYR,BPXSY1,square,inverse,-0.6608421602737625,0.6608421602737625,4507
DPQ_TOTAL,PAQ_MINS,sqrt,sqrt,-0.6593628498175078,0.6593628498175078,4528
DPQ_TOTAL,PAQ_MINS,square,sqrt,-0.6542203662810304,0.6542203662810304,4528
DPQ_TOTAL,PAQ_MINS,log,original,-0.6482861648058444,0.6482861648058444,4528
RIDAGEYR,BPXSY1,inverse,inverse,0.6429575690634635,0.6429575690634635,4507
RIDAGEYR,BPXSY1,inverse,log,-0.6394139089606204,0.6394139089606204,4507
RIDAGEYR,BPXSY1,inverse,sqrt,-0.6367926547800945,0.6367926547800945,4507
RIDAGEYR,BPXSY1,inverse,original,-0.6336353699768096,0.6336353699768096,4507
DPQ_TOTAL,PAQ_MINS,square,log,-0.6331412011820561,0.6331412011820561,4528
DPQ_TOTAL,PAQ_MINS,original,log,-0.6324235705121443,0.6324235705121443,4528
DPQ_TOTAL,PAQ_MINS,sqrt,square,-0.627135524086707,0.627135524086707,4528
RIDAGEYR,BPXSY1,inverse,square,-0.6258086504585597,0.6258086504585597,4507
DPQ_TOTAL,PAQ_MINS,log,square,-0.6248180120713647,0.6248180120713647,4528
DPQ_TOTAL,PAQ_MINS,square,original,-0.6124608550313402,0.6124608550313402,4528
DPQ_TOTAL,PAQ_MINS,log,sqrt,-0.6089979546038675,0.6089979546038675,4528
DPQ_TOTAL,PAQ_MINS,original,square,-0.5945611172128556,0.5945611172128556,4528
DPQ_TOTAL,PAQ_MINS,sqrt,log,-0.5894488849274134,0.5894488849274134,4528
BMXBMI,LBXGLU,square,square,0.5745094776791898,0.5745094776791898,4519
BMXBMI,LBXGLU,square,original,0.5655473201111764,0.5655473201111764,4519
BMXBMI,LBXGLU,square,sqrt,0.5598948259571995,0.5598948259571995,4519
BMXBMI,LBXGLU,original,square,0.5546713277059455,0.5546713277059455,4519
BMXBMI,LBXGLU,square,log,0.5535265532616799,0.5535265532616799,4519
BMXBMI,LBXGLU,original,original,0.5489284210343935,0.5489284210343935,4519
BMXBMI,LBXGLU,original,sqrt,0.5448665678112601,0.5448665678112601,4519
BMXBMI,LBXGLU,sqrt,square,0.5419074376302373,0.5419074376302373,4519
BMXBMI,LBXGLU,original,log,0.5400700884585479,0.5400700884585479,4519
BMXBMI,LBXGLU,square,inverse,-0.5387953221804926,0.5387953221804926,4519
BMXBMI,LBXGLU,sqrt,original,0.5377307028523469,0.5377307028523469,4519
BMXBMI,LBXGLU,sqrt,sqrt,0.5344564289885658,0.5344564289885658,4519
BMXBMI,LBXGLU,sqrt,log,0.5304469760374707,0.5304469760374707,4519
BMXBMI,LBXGLU,original,inverse,-0.5284107708994958,0.5284107708994958,4519
DPQ_TOTAL,PAQ_MINS,log,log,-0.5278341967141613,0.5278341967141613,4528
BMXBMI,LBXGLU,log,square,0.5270019443674305,0.5270019443674305,4519
BMXBMI,LBXGLU,log,original,0.5243455115733886,0.5243455115733886,4519
BMXBMI,LBXGLU,log,sqrt,0.5218457957036744,0.5218457957036744,4519
BMXBMI,LBXGLU,sqrt,inverse,-0.5203512422979389,0.5203512422979389,4519
BMXBMI,LBXGLU,log,log,0.5186166906010801,0.5186166906010801,4519
BMXBMI,LBXGLU,log,inverse,-0.5100894896722954,0.5100894896722954,4519
DPQ_TOTAL,PAQ_MINS,square,square,-0.5028361961887567,0.5028361961887567,4528
BMXBMI,LBXGLU,inverse,original,-0.48962507016610396,0.48962507016610396,4519
BMXBMI,LBXGLU,inverse,square,-0.4894393152828939,0.4894393152828939,4519
BMXBMI,LBXGLU,inverse,sqrt,-0.48860754314668164,0.48860754314668164,4519
SLD012,DPQ_TOTAL,inverse,square,0.48800516633084645,0.48800516633084645,4532
BMXBMI,LBXGLU,inverse,log,-0.48689298311136925,0.48689298311136925,4519
BMXBMI,BPXSY1,sqrt,log,0.4834716834951403,0.4834716834951403,4512
BMXBMI,BPXSY1,original,sqrt,0.48328733877606755,0.48328733877606755,4512
BMXBMI,BPXSY1,sqrt,sqrt,0.48319841188231866,0.48319841188231866,4512
BMXBMI,BPXSY1,original,log,0.483145420390854,0.483145420390854,4512
BMXBMI,BPXSY1,original,original,0.4830535141674597,0.4830535141674597,4512
BMXBMI,BPXSY1,sqrt,inverse,-0.48286297913327286,0.48286297913327286,4512
BMXBMI,BPXSY1,sqrt,original,0.48255146363853807,0.48255146363853807,4512
BMXBMI,BPXSY1,log,inverse,-0.48203714665450115,0.48203714665450115,4512
BMXBMI,BPXSY1,log,log,0.481794681340494,0.481794681340494,4512
BMXBMI,BPXSY1,original,inverse,-0.4817047733235329,0.4817047733235329,4512
BMXBMI,BPXSY1,original,square,0.4814932367455519,0.4814932367455519,4512
BMXBMI,LBXGLU,inverse,inverse,0.4814709110921351,0.4814709110921351,4519
BMXBMI,BPXSY1,log,sqrt,0.48109984684945295,0.48109984684945295,4512
BMXBMI,BPXSY1,sqrt,square,0.48017547879956335,0.48017547879956335,4512
BMXBMI,BPXSY1,log,original,0.48003557166639815,0.48003557166639815,4512
BMXBMI,BPXSY1,square,square,0.47926464953519915,0.47926464953519915,4512
BMXBMI,BPXSY1,square,original,0.47923753457430923,0.47923753457430923,4512
BMXBMI,BPXSY1,square,sqrt,0.4786756723867196,0.4786756723867196,4512
BMXBMI,BPXSY1,square,log,0.4777395867991506,0.4777395867991506,4512
BMXBMI,BPXSY1,log,square,0.476841954191549,0.476841954191549,4512
BMXBMI,BPXSY1,square,inverse,-0.474724139046109,0.474724139046109,4512
BMXBMI,BPXSY1,inverse,inverse,0.47234289466659485,0.47234289466659485,4512
BMXBMI,BPXSY1,inverse,log,-0.47039101799917377,0.47039101799917377,4512
BMXBMI,BPXSY1,inverse,sqrt,-0.4688613031938023,0.4688613031938023,4512
BMXBMI,BPXSY1,inverse,original,-0.4669783781892495,0.4669783781892495,4512
BMXBMI,BPXSY1,inverse,square,-0.462204323498813,0.462204323498813,4512
SLD012,DPQ_TOTAL,inverse,original,0.44406543481347804,0.44406543481347804,4532
RIDAGEYR,LBXTC,original,square,0.4357610596313597,0.4357610596313597,4497
RIDAGEYR,LBXTC,original,original,0.43568452712791184,0.43568452712791184,4497
RIDAGEYR,LBXTC,original,sqrt,0.4338077926794104,0.4338077926794104,4497
RIDAGEYR,LBXTC,square,square,0.4336696887728825,0.4336696887728825,4497
RIDAGEYR,LBXTC,sqrt,original,0.43207311231325113,0.43207311231325113,4497
RIDAGEYR,LBXTC,square,original,0.4311287795276017,0.4311287795276017,4497
RIDAGEYR,LBXTC,sqrt,sqrt,0.430914402197558,0.430914402197558,4497
RIDAGEYR,LBXTC,sqrt,square,0.4308084377400277,0.4308084377400277,4497
RIDAGEYR,LBXTC,original,log,0.43061365343464514,0.43061365343464514,4497
RIDAGEYR,LBXTC,sqrt,log,0.4284624711378944,0.4284624711378944,4497
RIDAGEYR,LBXTC,square,sqrt,0.42798852359890166,0.42798852359890166,4497
RIDAGEYR,LBXTC,log,original,0.42408763139515937,0.42408763139515937,4497
RIDAGEYR,LBXTC,log,sqrt,0.4236700685870243,0.4236700685870243,4497
RIDAGEYR,LBXTC,square,log,0.42352708565273284,0.42352708565273284,4497
RIDAGEYR,LBXTC,log,log,0.4219994565820841,0.4219994565820841,4497
RIDAGEYR,LBXTC,log,square,0.42147943472875915,0.42147943472875915,4497
RIDAGEYR,LBXTC,original,inverse,-0.420020512398727,0.420020512398727,4497
RIDAGEYR,LBXTC,sqrt,inverse,-0.4193991329170109,0.4193991329170109,4497
SLD012,DPQ_TOTAL,log,square,-0.415991107793607,0.415991107793607,4532
RIDAGEYR,LBXTC,log,inverse,-0.41459571657683425,0.41459571657683425,4497
RIDAGEYR,LBXTC,square,inverse,-0.41044722897282077,0.41044722897282077,4497
RIDAGEYR,LBXTC,inverse,sqrt,-0.3972921935645371,0.3972921935645371,4497
RIDAGEYR,LBXTC,inverse,log,-0.3971606613927024,0.3971606613927024,4497
RIDAGEYR,LBXTC,inverse,original,-0.3962923669524059,0.3962923669524059,4497
RIDAGEYR,LBXTC,inverse,inverse,0.39316838104983937,0.39316838104983937,4497
SLD012,DPQ_TOTAL,inverse,sqrt,0.39193534625708265,0.39193534625708265,4532
RIDAGEYR,LBXTC,inverse,square,-0.39123535427973305,0.39123535427973305,4497
SLD012,DPQ_TOTAL,log,original,-0.38355812950996665,0.38355812950996665,4532
SLD012,DPQ_TOTAL,sqrt,square,-0.37426418039401504,0.37426418039401504,4532
SLD012,DPQ_TOTAL,sqrt,original,-0.34666911633712355,0.34666911633712355,4532
SLD012,DPQ_TOTAL,log,sqrt,-0.340886123434212,0.340886123434212,4532
SLD012,DPQ_TOTAL,inverse,log,0.3340288996945525,0.3340288996945525,4532
SLD012,DPQ_TOTAL,original,square,-0.33060992233822345,0.33060992233822345,4532
RIDAGEYR,BMXBMI,original,original,0.3256628534389888,0.3256628534389888,4536
RIDAGEYR,BMXBMI,original,sqrt,0.32560034614370115,0.32560034614370115,4536
RIDAGEYR,BMXBMI,sqrt,sqrt,0.325302307760375,0.325302307760375,4536
RIDAGEYR,BMXBMI,sqrt,original,0.3248178392268462,0.3248178392268462,4536
RIDAGEYR,BMXBMI,sqrt,log,0.3245025382370107,0.3245025382370107,4536
RIDAGEYR,BMXBMI,original,log,0.32422389280134994,0.32422389280134994,4536
RIDAGEYR,BMXBMI,original,square,0.32260275331634286,0.32260275331634286,4536
RIDAGEYR,BMXBMI,log,sqrt,0.32173927378243566,0.32173927378243566,4536
RIDAGEYR,BMXBMI,log,log,0.32153119565101124,0.32153119565101124,4536
RIDAGEYR,BMXBMI,sqrt,square,0.3207613257030583,0.3207613257030583,4536
RIDAGEYR,BMXBMI,log,original,0.32070683440915837,0.32070683440915837,4536
BPXSY1,LBXTC,square,square,0.3190186781864264,0.3190186781864264,4479
RIDAGEYR,BMXBMI,square,original,0.31877854463712885,0.31877854463712885,4536
BPXSY1,LBXTC,original,square,0.31864159473867537,0.31864159473867537,4479
BPXSY1,LBXTC,square,original,0.31841935044365344,0.31841935044365344,4479
BPXSY1,LBXTC,original,original,0.3183551221436424,0.3183551221436424,4479
BPXSY1,LBXTC,sqrt,square,0.3180480831499577,0.3180480831499577,4479
