cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,inverse,-0.651068778942239,0.651068778942239,1785,0.696224093348917,-0.04515531440667797
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,inverse,-0.6400807448866478,0.6400807448866478,1939,0.613043682852843,0.027037062033804737
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,inverse,inverse,0.5217222998299575,0.5217222998299575,33,0.2252308092129322,0.29649149061702534
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,inverse,-0.5186483437073864,0.5186483437073864,1315,0.5276694612591444,-0.00902111755175794
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,inverse,inverse,0.5171411894200127,0.5171411894200127,370,0.39820811799643885,0.1189330714235739
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,inverse,-0.503565140498531,0.503565140498531,1783,0.4685392715125565,0.035025868985974484
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,inverse,0.49779864218623604,0.49779864218623604,6322,0.4196427305542291,0.07815591163200691
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.49581345587015996,0.49581345587015996,6322,0.41852796411876647,0.07728549175139349
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4899177962649967,0.4899177962649967,6467,0.42218579324475775,0.06773200302023896
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4885067008092554,0.4885067008092554,6467,0.42137159346606945,0.06713510734318595
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.487435181056331,0.487435181056331,376,0.4007680313100134,0.08666714974631762
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,inverse,0.4783567693382691,0.4783567693382691,6466,0.39630811805104127,0.08204865128722783
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.46964887204316186,0.46964887204316186,6620,0.3985874938886093,0.07106137815455255
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4411370800526134,0.4411370800526134,6694,0.3263123422644561,0.11482473778815727
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,inverse,0.4407198291057606,0.4407198291057606,415,0.37049071119460525,0.07022911791115533
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,inverse,inverse,0.43707287634605724,0.43707287634605724,415,0.36596712191112835,0.07110575443492889
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4360887771790505,0.4360887771790505,6853,0.33683674495467236,0.09925203222437812
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,inverse,0.4341405430436603,0.4341405430436603,427,0.35994758889445067,0.07419295414920962
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.42481054424384296,0.42481054424384296,6534,0.33056293245460466,0.0942476117892383
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.41970848636440417,0.41970848636440417,6686,0.335225637029223,0.08448284933518119
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,inverse,inverse,0.4058193355367233,0.4058193355367233,6682,0.3015749534523539,0.10424438208436937
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.40321659163630924,0.40321659163630924,6684,0.3409568870253039,0.06225970461100533
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4018954147669575,0.4018954147669575,6532,0.33221034612960876,0.06968506863734875
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,inverse,0.4002192902944458,0.4002192902944458,6842,0.3057030820951946,0.09451620819925122
2011-2012,BPXSY4,BMXWT,Systolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,inverse,inverse,0.38503800232929597,0.38503800232929597,443,0.28817016837989723,0.09686783394939874
2011-2012,BPXSY4,BMXARMC,Systolic: Blood pres (4th rdg) mm Hg,Arm Circumference (cm),blood_pressure,body_measures,True,inverse,inverse,0.37843111904203064,0.37843111904203064,430,0.29499075216557424,0.0834403668764564
2011-2012,BMXWT,SMQ830,Weight (kg),# days used nicotine quit smoking aids?,body_measures,smoking,True,inverse,inverse,0.3700659205750437,0.3700659205750437,32,0.21041313939524964,0.1596527811797941
2011-2012,BPXSY4,BMXBMI,Systolic: Blood pres (4th rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,inverse,inverse,0.369642943566871,0.369642943566871,442,0.27024928886416316,0.09939365470270783
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,inverse,inverse,-0.3547414566814818,0.3547414566814818,61,0.34806946089461654,0.006671995786865281
2011-2012,BPXSY4,BMXARML,Systolic: Blood pres (4th rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,inverse,inverse,0.3542596252243872,0.3542596252243872,430,0.2949753789106913,0.05928424631369589
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,inverse,inverse,-0.3362025399131696,0.3362025399131696,32,0.33487793241617014,0.0013246074969994748
2011-2012,SMQ710,URXHPM,# days smoked cigarettes last 5 days,N-Ace-S-(3-Hydroxypropyl)-L-Cys(ng/mL),smoking,laboratory,True,inverse,inverse,0.3343909344064517,0.3343909344064517,805,0.23508933577070842,0.09930159863574325
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,inverse,inverse,-0.33220006050199047,0.33220006050199047,68,0.02397943788382898,0.30822062261816147
