cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,log,0.6840422098976718,0.6840422098976718,1785,0.696224093348917,-0.012181883451245157
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,log,0.679739761524247,0.679739761524247,1939,0.613043682852843,0.06669607867140392
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,inverse,log,0.5741603448491099,0.5741603448491099,68,0.02397943788382898,0.550180906965281
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,log,0.5300793600042825,0.5300793600042825,1315,0.5276694612591444,0.0024098987451380838
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,log,0.5229113208091993,0.5229113208091993,1783,0.4685392715125565,0.054372049296642855
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,inverse,log,-0.4938958191378804,0.4938958191378804,370,0.39820811799643885,0.09568770114144154
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,log,-0.4829763677913306,0.4829763677913306,6322,0.4196427305542291,0.06333363723710145
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.47578157094707235,0.47578157094707235,6322,0.41852796411876647,0.05725360682830588
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.47312332632708026,0.47312332632708026,6467,0.42218579324475775,0.05093753308232252
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.4719458037010125,0.4719458037010125,6467,0.42137159346606945,0.05057421023494307
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.4650195189129553,0.4650195189129553,376,0.4007680313100134,0.06425148760294191
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,log,-0.46375412868460747,0.46375412868460747,6466,0.39630811805104127,0.0674460106335662
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.45105206979161994,0.45105206979161994,6620,0.3985874938886093,0.052464575903010624
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,inverse,log,-0.43450564528136737,0.43450564528136737,33,0.2252308092129322,0.20927483606843517
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,log,-0.42632117001900477,0.42632117001900477,415,0.37049071119460525,0.05583045882439952
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,inverse,log,-0.4220100754380415,0.4220100754380415,415,0.36596712191112835,0.05604295352691313
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,log,-0.42084584303787864,0.42084584303787864,427,0.35994758889445067,0.06089825414342798
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.4089047803034596,0.4089047803034596,6694,0.3263123422644561,0.08259243803900351
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.40812895335277405,0.40812895335277405,6853,0.33683674495467236,0.07129220839810169
2011-2012,BMXWAIST,URXMU4,Waist Circumference (cm),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,inverse,log,-0.40702158911838227,0.40702158911838227,2286,0.05918311486071693,0.34783847425766534
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.3955306923037992,0.3955306923037992,6534,0.33056293245460466,0.06496775984919456
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.3941296257050739,0.3941296257050739,6686,0.335225637029223,0.05890398867585095
2011-2012,BMXWT,URXMU4,Weight (kg),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,inverse,log,-0.38136041351835237,0.38136041351835237,2374,0.06307390183786205,0.3182865116804903
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,inverse,log,-0.38123564097124213,0.38123564097124213,6682,0.3015749534523539,0.07966068751888822
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.3797597255750575,0.3797597255750575,6684,0.3409568870253039,0.03880283854975358
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.37927357437353626,0.37927357437353626,6842,0.3057030820951946,0.07357049227834167
2011-2012,BMXWT,SMQ830,Weight (kg),# days used nicotine quit smoking aids?,body_measures,smoking,True,inverse,log,-0.37774785124449023,0.37774785124449023,32,0.21041313939524964,0.1673347118492406
2011-2012,BPXSY4,BMXWT,Systolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,inverse,log,-0.3752320138011409,0.3752320138011409,443,0.28817016837989723,0.08706184542124368
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,log,-0.37519298486090186,0.37519298486090186,6532,0.33221034612960876,0.0429826387312931
2011-2012,BMXARMC,URXMU4,Arm Circumference (cm),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,inverse,log,-0.37114676101267113,0.37114676101267113,2312,0.054432287891283786,0.31671447312138734
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,inverse,log,0.3659364735583347,0.3659364735583347,61,0.34806946089461654,0.01786701266371815
2011-2012,BPXSY4,BMXARMC,Systolic: Blood pres (4th rdg) mm Hg,Arm Circumference (cm),blood_pressure,body_measures,True,inverse,log,-0.3656684313998986,0.3656684313998986,430,0.29499075216557424,0.07067767923432433
