cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,inverse,original,0.886158405345846,0.886158405345846,68,0.02397943788382898,0.862178967462017
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,original,0.7061062817857705,0.7061062817857705,1939,0.613043682852843,0.09306259893292745
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,original,0.7027440408520229,0.7027440408520229,1785,0.696224093348917,0.006519947503105916
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,original,0.5344160541374026,0.5344160541374026,1315,0.5276694612591444,0.006746592878258184
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,original,0.530917893015603,0.530917893015603,1783,0.4685392715125565,0.062378621503046516
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,inverse,original,-0.4603588019873658,0.4603588019873658,370,0.39820811799643885,0.062150683990926936
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,original,-0.4578433246051536,0.4578433246051536,6322,0.4196427305542291,0.038200594050924463
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.44841722171901477,0.44841722171901477,6467,0.42218579324475775,0.026231428474257024
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.4477361212454529,0.4477361212454529,6322,0.41852796411876647,0.02920815712668645
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.447476005044299,0.447476005044299,6467,0.42137159346606945,0.02610441157822957
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,original,-0.44004222521111325,0.44004222521111325,6466,0.39630811805104127,0.04373410716007198
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.4350062221168655,0.4350062221168655,376,0.4007680313100134,0.03423819080685214
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.43198929411659653,0.43198929411659653,6694,0.37432541020273663,0.057663883913859904
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.42504370809863085,0.42504370809863085,6620,0.3985874938886093,0.026456214210021534
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.4178394896326901,0.4178394896326901,6843,0.3616634872142854,0.0561760024184047
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.4024034421600332,0.4024034421600332,6322,0.36284725166721454,0.039556190492818666
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,original,-0.40051800818862954,0.40051800818862954,415,0.37049071119460525,0.03002729699402429
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,original,-0.39672523712500785,0.39672523712500785,427,0.35994758889445067,0.03677764823055718
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,inverse,original,-0.3961462576277505,0.3961462576277505,415,0.36596712191112835,0.030179135716622174
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3958461498103924,0.3958461498103924,6534,0.36157293433747867,0.03427321547291373
2011-2012,BPXSY4,PAD615,Systolic: Blood pres (4th rdg) mm Hg,Minutes vigorous-intensity work,blood_pressure,physical_activity,True,inverse,original,0.395243259594684,0.395243259594684,41,0.32119980548431726,0.07404345411036672
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3874087348559186,0.3874087348559186,6610,0.3500041733509116,0.037404561505006984
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.382360897924678,0.382360897924678,6455,0.3462290151658714,0.03613188275880658
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3820633407508021,0.3820633407508021,6455,0.3460024720977274,0.03606086865307473
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3809069745788112,0.3809069745788112,6679,0.3473598376342913,0.033547136944519884
2011-2012,SMQ800,ALQ141Q,#days used chewing tobacco -last 5 days,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,inverse,original,0.38016091218676673,0.38016091218676673,47,0.2833297247379048,0.09683118744886193
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,inverse,original,0.3767230631594955,0.3767230631594955,61,0.34806946089461654,0.028653602264878952
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3738062630571778,0.3738062630571778,6853,0.33683674495467236,0.03696951810250543
2011-2012,BMXHT,BPXDI1,Standing Height (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3722594398741264,0.3722594398741264,6694,0.35714858800065274,0.015110851873473663
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3704998436018583,0.3704998436018583,6694,0.3263123422644561,0.04418750133740218
2011-2012,BMXWT,SMQ830,Weight (kg),# days used nicotine quit smoking aids?,body_measures,smoking,True,inverse,original,-0.3666168894856397,0.3666168894856397,32,0.21041313939524964,0.15620375009039006
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.36552601996573547,0.36552601996573547,6846,0.35024961797753357,0.015276401988201904
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3622074319117405,0.3622074319117405,6686,0.335225637029223,0.026981794882517507
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,inverse,original,0.36054192945007935,0.36054192945007935,1685,0.4068386379299707,-0.04629670847989137
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.35994350538970843,0.35994350538970843,6534,0.33056293245460466,0.029380572935103766
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,inverse,original,-0.35445990848635395,0.35445990848635395,59,0.3200241273375962,0.03443578114875773
2011-2012,BMXARML,BPXDI2,Upper Arm Length (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3543553360503219,0.3543553360503219,6677,0.33590404677011887,0.01845128928020301
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.3521282405652946,0.3521282405652946,6842,0.3057030820951946,0.046425158470100036
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,original,-0.35047911140258137,0.35047911140258137,6684,0.3409568870253039,0.009522224377277455
