cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,inverse,sqrt,0.7450866146249443,0.7450866146249443,68,0.02397943788382898,0.7211071767411154
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,sqrt,0.6952289724370899,0.6952289724370899,1785,0.696224093348917,-0.0009951209118270743
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,sqrt,0.694674405172873,0.694674405172873,1939,0.613043682852843,0.08163072232002999
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,sqrt,0.533124178862073,0.533124178862073,1315,0.5276694612591444,0.005454717602928594
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,sqrt,0.5283431414923628,0.5283431414923628,1783,0.4685392715125565,0.05980386997980636
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.4782226168870713,0.4782226168870713,370,0.39820811799643885,0.08001449889063245
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.4715765732908266,0.4715765732908266,6322,0.4196427305542291,0.05193384273659746
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.46277159675146073,0.46277159675146073,6322,0.41852796411876647,0.04424363263269426
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.4617724589819879,0.4617724589819879,6467,0.42218579324475775,0.03958666573723013
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.4607129542851546,0.4607129542851546,6467,0.42137159346606945,0.039341360819085125
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.4529512808915933,0.4529512808915933,6466,0.39630811805104127,0.05664316284055204
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.45092901238075606,0.45092901238075606,376,0.4007680313100134,0.05016098107074268
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.43897291194429555,0.43897291194429555,6620,0.3985874938886093,0.04038541805568624
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.4146448115980273,0.4146448115980273,415,0.37049071119460525,0.04415410040342205
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.4102444222054973,0.4102444222054973,415,0.36596712191112835,0.04427730029436894
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.409998481021177,0.409998481021177,427,0.35994758889445067,0.05005089212672631
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.4042724425702107,0.4042724425702107,6694,0.37432541020273663,0.02994703236747409
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3917191682242697,0.3917191682242697,6853,0.33683674495467236,0.05488242326959736
2011-2012,BPXSY4,PAD615,Systolic: Blood pres (4th rdg) mm Hg,Minutes vigorous-intensity work,blood_pressure,physical_activity,True,inverse,sqrt,0.3911316758009172,0.3911316758009172,41,0.32119980548431726,0.06993187031659992
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.39042704991777366,0.39042704991777366,6694,0.3263123422644561,0.06411470765331756
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.38240108853425997,0.38240108853425997,6843,0.3616634872142854,0.020737601319974597
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3789252771321136,0.3789252771321136,6686,0.335225637029223,0.043699640102890625
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.37848542297379345,0.37848542297379345,6534,0.33056293245460466,0.04792249051918879
2011-2012,BMXWT,SMQ830,Weight (kg),# days used nicotine quit smoking aids?,body_measures,smoking,True,inverse,sqrt,-0.3738395563062942,0.3738395563062942,32,0.21041313939524964,0.16342641691104454
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,inverse,sqrt,0.3713818563822972,0.3713818563822972,61,0.34806946089461654,0.02331239548768066
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,inverse,sqrt,-0.3673161653827242,0.3673161653827242,33,0.2252308092129322,0.142085356169792
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3664557300483119,0.3664557300483119,6842,0.3057030820951946,0.0607526479531173
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.36581441326385283,0.36581441326385283,6684,0.3409568870253039,0.02485752623854892
2011-2012,BMXWT,DR1TKCAL,Weight (kg),Energy (kcal),body_measures,dietary,True,inverse,sqrt,-0.3647365665367171,0.3647365665367171,8320,0.28845720851660234,0.07627935802011476
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,inverse,sqrt,-0.3642494611311556,0.3642494611311556,6682,0.3015749534523539,0.06267450767880167
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,inverse,sqrt,-0.3637819168979484,0.3637819168979484,8124,0.34102080259728473,0.022761114300663687
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.36123323246581046,0.36123323246581046,6534,0.36157293433747867,-0.00033970187166820764
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3604827639983297,0.3604827639983297,6322,0.36284725166721454,-0.0023644876688848626
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3597207927725833,0.3597207927725833,6532,0.33221034612960876,0.02751044664297453
2011-2012,BPXSY4,BMXWT,Systolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,inverse,sqrt,-0.35826327096087657,0.35826327096087657,443,0.28817016837989723,0.07009310258097934
2011-2012,BPXSY4,BMXARMC,Systolic: Blood pres (4th rdg) mm Hg,Arm Circumference (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.35571281535255006,0.35571281535255006,430,0.29499075216557424,0.060722063186975817
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,inverse,sqrt,0.35482930134454355,0.35482930134454355,1685,0.4068386379299707,-0.05200933658542717
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,inverse,sqrt,-0.3545770671280305,0.3545770671280305,59,0.3200241273375962,0.03455293979043428
2011-2012,BMXHT,BPXDI1,Standing Height (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.35369030193068673,0.35369030193068673,6694,0.35714858800065274,-0.00345828606996601
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,inverse,sqrt,-0.3453638443241459,0.3453638443241459,67,0.34433240043958563,0.0010314438845602791
2011-2012,BPXSY4,BMXARML,Systolic: Blood pres (4th rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,inverse,sqrt,-0.3418692402691035,0.3418692402691035,430,0.2949753789106913,0.04689386135841217
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3418122830399359,0.3418122830399359,6679,0.3473598376342913,-0.005547554594355408
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.3406613594503361,0.3406613594503361,6610,0.3500041733509116,-0.009342813900575508
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,sqrt,-0.33877500938229854,0.33877500938229854,6846,0.35024961797753357,-0.011474608595235025
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,inverse,sqrt,0.3362025399131695,0.3362025399131695,32,0.33487793241617014,0.0013246074969993638
2011-2012,BMXWAIST,SMQ830,Waist Circumference (cm),# days used nicotine quit smoking aids?,body_measures,smoking,True,inverse,sqrt,-0.33460717733368267,0.33460717733368267,31,0.2573093917728767,0.07729778556080596
