cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,inverse,square,0.9886915020745417,0.9886915020745417,68,0.02397943788382898,0.9647120641907128
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,square,0.7180242838445084,0.7180242838445084,1939,0.613043682852843,0.1049806009916654
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,square,0.7065136400974287,0.7065136400974287,1785,0.696224093348917,0.01028954674851168
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,square,0.5318784432773097,0.5318784432773097,1315,0.5276694612591444,0.00420898201816533
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,inverse,square,0.5275639664778842,0.5275639664778842,1783,0.4685392715125565,0.059024694965327695
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,inverse,square,-0.4246870501799346,0.4246870501799346,6322,0.4196427305542291,0.005044319625705451
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,inverse,square,-0.4199818187533583,0.4199818187533583,370,0.39820811799643885,0.02177370075691948
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,square,-0.41575178462264406,0.41575178462264406,6467,0.42218579324475775,-0.006434008622113685
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,inverse,square,-0.41504605022518626,0.41504605022518626,6467,0.42137159346606945,-0.006325543240883191
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,square,-0.411663737775739,0.411663737775739,6322,0.41852796411876647,-0.006864226343027469
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,inverse,square,-0.40965375237661256,0.40965375237661256,6694,0.37432541020273663,0.035328342173875926
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,inverse,square,-0.4088795330640365,0.4088795330640365,6466,0.39630811805104127,0.012571415012995246
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,inverse,square,-0.4013059178631969,0.4013059178631969,6843,0.3616634872142854,0.03964243064891154
