cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,inverse,0.6679440274944309,0.6679440274944309,1939,0.613043682852843,0.054900344641587884
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,inverse,0.6646717537162552,0.6646717537162552,1785,0.696224093348917,-0.0315523396326618
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,inverse,0.5183562280500154,0.5183562280500154,1315,0.5276694612591444,-0.009313233209129024
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,log,inverse,-0.483710843959153,0.483710843959153,370,0.39820811799643885,0.08550272596271413
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,inverse,0.4826015175567247,0.4826015175567247,1783,0.4685392715125565,0.014062246044168225
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.4811861500237276,0.4811861500237276,6322,0.41852796411876647,0.06265818590496114
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,log,inverse,-0.4795519042950787,0.4795519042950787,33,0.2252308092129322,0.2543210950821465
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,inverse,-0.4774056847537742,0.4774056847537742,6322,0.4196427305542291,0.05776295419954508
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.477010984189615,0.477010984189615,6467,0.42218579324475775,0.05482519094485727
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.4757363051765398,0.4757363051765398,6467,0.42137159346606945,0.05436471171047036
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.47198750882605306,0.47198750882605306,376,0.4007680313100134,0.07121947751603969
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.4566149471157728,0.4566149471157728,6620,0.3985874938886093,0.05802745322716346
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,inverse,-0.4556880191115665,0.4556880191115665,6466,0.39630811805104127,0.05937990106052521
2011-2012,URXMU4,BMXSAD3,"1,3-dimethyluric acid (umol/L)",Sagittal Abdominal Diameter 3rd (cm),laboratory,body_measures,True,log,inverse,-0.441361553609986,0.441361553609986,117,0.21939708179524411,0.2219644718147419
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.4269155383770115,0.4269155383770115,6694,0.3263123422644561,0.10060319611255542
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,inverse,-0.4262072451567288,0.4262072451567288,415,0.37049071119460525,0.05571653396212356
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,inverse,-0.42616188235734587,0.42616188235734587,6853,0.33683674495467236,0.0893251374026735
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,log,inverse,-0.422614564878411,0.422614564878411,415,0.36596712191112835,0.056647442967282635
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,inverse,-0.41771168931578245,0.41771168931578245,427,0.35994758889445067,0.05776410042133179
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,log,inverse,0.4104975106630053,0.4104975106630053,1685,0.4068386379299707,0.0036588727330346127
