cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,log,-0.6961347894031037,0.6961347894031037,1939,0.613043682852843,0.08309110655026064
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,log,-0.6929984774238908,0.6929984774238908,1785,0.696224093348917,-0.0032256159250262373
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,log,log,-0.5682057227948563,0.5682057227948563,68,0.02397943788382898,0.5442262849110273
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,log,-0.528874858023142,0.528874858023142,1315,0.5276694612591444,0.0012053967639976682
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,log,-0.49936523002868555,0.49936523002868555,1783,0.4685392715125565,0.03082595851612907
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,log,0.46515654468930884,0.46515654468930884,6322,0.4196427305542291,0.04551381413507971
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,log,0.46367364813087886,0.46367364813087886,6322,0.41852796411876647,0.045145684012112386
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,log,log,0.463344081492717,0.463344081492717,370,0.39820811799643885,0.06513596349627815
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,log,0.46256657190160694,0.46256657190160694,6467,0.42218579324475775,0.04038077865684919
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,log,0.4615016017278924,0.4615016017278924,6467,0.42137159346606945,0.04013000826182295
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,log,0.45119197721135257,0.45119197721135257,376,0.4007680313100134,0.050423945901339196
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,log,0.4432163325662641,0.4432163325662641,6466,0.39630811805104127,0.04690821451522281
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,log,0.44000958384175226,0.44000958384175226,6620,0.3985874938886093,0.04142208995314295
