cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,log,original,-0.8825416284644667,0.8825416284644667,68,0.02397943788382898,0.8585621905806378
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,original,-0.7089024469844504,0.7089024469844504,1939,0.613043682852843,0.09585876413160732
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,original,-0.7062658877953716,0.7062658877953716,1785,0.696224093348917,0.010041794446454588
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,original,-0.5323142828001034,0.5323142828001034,1315,0.5276694612591444,0.004644821540959021
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,original,-0.505004822990487,0.505004822990487,1783,0.4685392715125565,0.03646555147793051
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,log,original,-0.44456604188315874,0.44456604188315874,1685,0.4068386379299707,0.03772740395318802
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,original,0.44273114822410164,0.44273114822410164,6322,0.4196427305542291,0.02308841766987252
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.4401923859768827,0.4401923859768827,6467,0.42218579324475775,0.01800659273212496
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.4393509756071385,0.4393509756071385,6467,0.42137159346606945,0.017979382141069034
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.43806380264715866,0.43806380264715866,6322,0.41852796411876647,0.01953583852839219
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,log,original,0.4327188804440495,0.4327188804440495,370,0.39820811799643885,0.03451076244761064
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,original,0.4226784705016641,0.4226784705016641,376,0.4007680313100134,0.021910439191650755
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,original,0.42187813574329325,0.42187813574329325,6466,0.39630811805104127,0.02557001769225198
