cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,log,sqrt,-0.740113934290306,0.740113934290306,68,0.02397943788382898,0.7161344964064771
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,sqrt,-0.7044738970879205,0.7044738970879205,1939,0.613043682852843,0.09143021423507747
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,sqrt,-0.7015421626119714,0.7015421626119714,1785,0.696224093348917,0.005318069263054448
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,sqrt,-0.5314672772008805,0.5314672772008805,1315,0.5276694612591444,0.0037978159417361157
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,sqrt,-0.5035772066794159,0.5035772066794159,1783,0.4685392715125565,0.03503793516685938
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,sqrt,0.4551062707973763,0.4551062707973763,6322,0.4196427305542291,0.035463540243147185
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,sqrt,0.452391542248192,0.452391542248192,6467,0.42218579324475775,0.030205749003434257
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,sqrt,0.4518997559367808,0.4518997559367808,6322,0.41852796411876647,0.03337179181801431
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,sqrt,0.4514368671171438,0.4514368671171438,6467,0.42137159346606945,0.030065273651074365
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,log,sqrt,0.449135600117283,0.449135600117283,370,0.39820811799643885,0.050927482120844136
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,log,sqrt,-0.4391847116463758,0.4391847116463758,1685,0.4068386379299707,0.03234607371640508
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,sqrt,0.43787218388738686,0.43787218388738686,376,0.4007680313100134,0.037104152577373484
