cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,ALQ120Q,SMQ670,How often drink alcohol over past 12 mos,Tried to quit smoking,alcohol,smoking,True,log,square,-0.9872125205797501,0.9872125205797501,68,0.02397943788382898,0.9632330826959211
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,square,-0.7061636951567852,0.7061636951567852,1939,0.613043682852843,0.09312001230394218
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,square,-0.7042262161268248,0.7042262161268248,1785,0.696224093348917,0.008002122777907794
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,square,-0.5289228235580045,0.5289228235580045,1315,0.5276694612591444,0.0012533622988600834
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,log,square,-0.4996535876286195,0.4996535876286195,1783,0.4685392715125565,0.031114316116063023
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,log,square,-0.4489825194281666,0.4489825194281666,1685,0.4068386379299707,0.04214388149819587
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,square,0.4122257918532435,0.4122257918532435,6322,0.4196427305542291,-0.0074169387009856425
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.4097178701339923,0.4097178701339923,6467,0.42218579324475775,-0.012467923110765444
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.4091093082568417,0.4091093082568417,6467,0.42137159346606945,-0.01226228520922773
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.4062609309152541,0.4062609309152541,6694,0.37432541020273663,0.031935520712517484
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.4042202977186075,0.4042202977186075,6322,0.41852796411876647,-0.014307666400158958
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.39891307292299094,0.39891307292299094,6843,0.3616634872142854,0.03724958570870557
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,log,square,0.3950988166130035,0.3950988166130035,370,0.39820811799643885,-0.003109301383435348
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,square,0.3931925542935292,0.3931925542935292,6466,0.39630811805104127,-0.0031155637575120965
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3896278074964983,0.3896278074964983,6322,0.36284725166721454,0.026780555829283736
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3869644750800978,0.3869644750800978,376,0.4007680313100134,-0.013803556229915581
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3847247983670588,0.3847247983670588,6620,0.3985874938886093,-0.013862695521550505
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3784804665592729,0.3784804665592729,6455,0.3460024720977274,0.032477994461545534
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.37844018143211194,0.37844018143211194,6455,0.3462290151658714,0.03221116626624054
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.377823928552508,0.377823928552508,6610,0.3500041733509116,0.027819755201596408
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3760837493122992,0.3760837493122992,6534,0.36157293433747867,0.01451081497482054
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,log,square,-0.37063896249300055,0.37063896249300055,61,0.34806946089461654,0.022569501598384
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3656077842554425,0.3656077842554425,6679,0.3473598376342913,0.0182479466211512
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,log,square,0.36451198904305054,0.36451198904305054,32,0.3365082670773893,0.028003721965661255
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,log,square,0.35865584858520677,0.35865584858520677,415,0.37049071119460525,-0.011834862609398478
2011-2012,SMQ800,ALQ141Q,#days used chewing tobacco -last 5 days,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,log,square,-0.35752872334030683,0.35752872334030683,47,0.2833297247379048,0.07419899860240203
2011-2012,BPXSY4,PAD615,Systolic: Blood pres (4th rdg) mm Hg,Minutes vigorous-intensity work,blood_pressure,physical_activity,True,log,square,-0.35551521299746297,0.35551521299746297,41,0.32119980548431726,0.03431540751314571
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,log,square,0.35436935389747565,0.35436935389747565,415,0.36596712191112835,-0.011597768013652698
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,log,square,0.3520660463229765,0.3520660463229765,427,0.35994758889445067,-0.007881542571474165
2011-2012,BMXHT,BPXDI1,Standing Height (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.34267833686865434,0.34267833686865434,6694,0.35714858800065274,-0.014470251131998402
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3406320038509794,0.3406320038509794,6846,0.35024961797753357,-0.009617614126554153
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,log,square,-0.3402690242516831,0.3402690242516831,32,0.33487793241617014,0.005391091835512951
2011-2012,BMXARMC,BPXDI4,Arm Circumference (cm),Diastolic: Blood pres (4th rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3369331951068794,0.3369331951068794,430,0.31279993615389845,0.024133258952980963
2011-2012,BMXARML,BPXDI2,Upper Arm Length (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3339250604247724,0.3339250604247724,6677,0.33590404677011887,-0.0019789863453464895
2011-2012,DPQ040,SMQ830,Feeling tired or having little energy,# days used nicotine quit smoking aids?,mental_health,smoking,True,log,square,-0.332610701035888,0.332610701035888,31,0.20174724625284365,0.13086345478304437
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,log,square,0.3308350699531083,0.3308350699531083,59,0.3200241273375962,0.010810942615512076
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3299161328932549,0.3299161328932549,6853,0.33683674495467236,-0.006920612061417475
2011-2012,BPXML1,SMQ830,MIL: maximum inflation levels (mm Hg),# days used nicotine quit smoking aids?,blood_pressure,smoking,True,log,square,0.32661275317373273,0.32661275317373273,32,0.28839833522410674,0.03821441794962599
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.31886334965172114,0.31886334965172114,6694,0.3263123422644561,-0.0074489926127349615
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.31626663085779777,0.31626663085779777,6686,0.335225637029223,-0.018959006171425208
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.31301656083242907,0.31301656083242907,6684,0.3409568870253039,-0.027940326192874843
2011-2012,BMXARMC,SMQ830,Arm Circumference (cm),# days used nicotine quit smoking aids?,body_measures,smoking,True,log,square,0.3119710778760206,0.3119710778760206,32,0.2555855680083791,0.05638550986764146
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.30928477934723836,0.30928477934723836,6534,0.33056293245460466,-0.021278153107366304
2011-2012,BPXSY4,BMXARML,Systolic: Blood pres (4th rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,log,square,0.30716635593045977,0.30716635593045977,430,0.2949753789106913,0.012190977019768456
2011-2012,SMQ800,ALQ120U,#days used chewing tobacco -last 5 days,"# days drink alcohol per wk, mo, yr",smoking,alcohol,True,log,square,0.3069861075274665,0.3069861075274665,47,0.2647780175317035,0.04220808999576303
2011-2012,SMQ830,DR1TZINC,# days used nicotine quit smoking aids?,Zinc (mg),smoking,dietary,True,log,square,-0.3069655064126718,0.3069655064126718,30,0.11779124224414246,0.18917426416852934
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,log,square,0.3043428634004473,0.3043428634004473,6842,0.3057030820951946,-0.0013602186947472839
