cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,inverse,0.6651540021932605,0.6651540021932605,1785,0.696224093348917,-0.03107009115565651
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,inverse,0.5973252513958924,0.5973252513958924,1939,0.613043682852843,-0.01571843145695062
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,inverse,0.5155343421212673,0.5155343421212673,1315,0.5276694612591444,-0.012135119137877126
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.45617426857392424,0.45617426857392424,6322,0.41852796411876647,0.037646304455157764
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.4538282731866426,0.4538282731866426,6467,0.42218579324475775,0.03164247994188485
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.45259815414267757,0.45259815414267757,6467,0.42137159346606945,0.031226560676608117
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,inverse,0.45088906000763573,0.45088906000763573,1783,0.4685392715125565,-0.017650211504920743
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,inverse,-0.4490162403377785,0.4490162403377785,6322,0.4196427305542291,0.029373509783549356
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.44638291034742944,0.44638291034742944,376,0.4007680313100134,0.04561487903741607
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,original,inverse,-0.44396702903788654,0.44396702903788654,370,0.39820811799643885,0.04575891104144769
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.43460687169372314,0.43460687169372314,6620,0.3985874938886093,0.03601937780511383
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,inverse,-0.4255139907198594,0.4255139907198594,6466,0.39630811805104127,0.029205872668818134
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,original,inverse,-0.41506278837955085,0.41506278837955085,33,0.2252308092129322,0.18983197916661865
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,inverse,-0.40675809461722856,0.40675809461722856,6466,0.3683865428505843,0.03837155176664425
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,inverse,-0.40292112143778835,0.40292112143778835,6322,0.36301573861576286,0.03990538282202549
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,inverse,-0.4017078517498924,0.4017078517498924,415,0.37049071119460525,0.031217140555287126
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,original,inverse,-0.3982166340595246,0.3982166340595246,415,0.36596712191112835,0.032249512148396275
2011-2012,BPXML1,BMXSAD1,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,inverse,-0.3934356088297909,0.3934356088297909,6603,0.3656479160578957,0.02778769277189519
2011-2012,BPXML1,BMXSAD2,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,original,inverse,-0.39293459929284225,0.39293459929284225,6603,0.36519074362942633,0.027743855663415917
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,inverse,-0.3917728751864345,0.3917728751864345,427,0.35994758889445067,0.031825286291983834
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.3907316776052602,0.3907316776052602,6684,0.3409568870253039,0.04977479057995626
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.38806705449232626,0.38806705449232626,6532,0.33221034612960876,0.0558567083627175
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.386858881643202,0.386858881643202,6534,0.33056293245460466,0.056295949188597316
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.38637236270525865,0.38637236270525865,6853,0.33683674495467236,0.04953561775058629
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.3851197986734107,0.3851197986734107,6686,0.335225637029223,0.049894161644187696
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,original,inverse,0.3844023661629923,0.3844023661629923,1685,0.4068386379299707,-0.022436271766978433
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,inverse,-0.38300896736663126,0.38300896736663126,6694,0.3263123422644561,0.05669662510217516
2011-2012,SMQ710,URXHPM,# days smoked cigarettes last 5 days,N-Ace-S-(3-Hydroxypropyl)-L-Cys(ng/mL),smoking,laboratory,True,original,inverse,-0.3806559430627552,0.3806559430627552,805,0.23508933577070842,0.14556660729204676
2011-2012,PAD630,SMQ670,Minutes moderate-intensity work,Tried to quit smoking,physical_activity,smoking,True,original,inverse,0.37962015703965624,0.37962015703965624,38,0.17122484962350557,0.20839530741615067
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,original,inverse,0.3786465242591178,0.3786465242591178,81,0.3448049189306861,0.03384160532843172
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,original,inverse,-0.3765444503730725,0.3765444503730725,6532,0.3570349960033366,0.01950945436973589
