cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,log,-0.6884103516020282,0.6884103516020282,1785,0.696224093348917,-0.007813741746888758
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,log,-0.6125065610015098,0.6125065610015098,1939,0.613043682852843,-0.0005371218513332554
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,log,-0.5251120937371657,0.5251120937371657,1315,0.5276694612591444,-0.0025573675219786596
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,log,-0.4650187465379555,0.4650187465379555,1783,0.4685392715125565,-0.0035205249746009804
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,log,0.44187964696796345,0.44187964696796345,6467,0.42218579324475775,0.0196938537232057
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,log,0.4413318448665553,0.4413318448665553,6322,0.41852796411876647,0.02280388074778883
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,log,0.4408457230001678,0.4408457230001678,6467,0.42137159346606945,0.019474129534098328
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,log,0.4392383166610283,0.4392383166610283,6322,0.4196427305542291,0.01959558610679918
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,log,0.42740809479017716,0.42740809479017716,376,0.4007680313100134,0.02664006348016379
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,original,log,0.42607979868523527,0.42607979868523527,370,0.39820811799643885,0.02787168068879642
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,log,0.42019332661048636,0.42019332661048636,6620,0.3985874938886093,0.02160583272187705
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,log,0.4151251531700575,0.4151251531700575,6466,0.39630811805104127,0.018817035119016223
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,original,log,-0.39958813754524386,0.39958813754524386,1685,0.4068386379299707,-0.0072505003847268545
