cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,original,-0.696224093348917,0.696224093348917,1785,0.696224093348917,0.0
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,original,original,0.6619682870245717,0.6619682870245717,338,0.6619682870245717,0.0
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,original,-0.613043682852843,0.613043682852843,1939,0.613043682852843,0.0
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,original,original,0.6089118221976025,0.6089118221976025,745,0.6089118221976025,0.0
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,original,-0.5276694612591444,0.5276694612591444,1315,0.5276694612591444,0.0
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,original,-0.4685392715125565,0.4685392715125565,1783,0.4685392715125565,0.0
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,original,original,0.4465038746118304,0.4465038746118304,7486,0.4465038746118304,0.0
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.42218579324475775,0.42218579324475775,6467,0.42218579324475775,0.0
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.42137159346606945,0.42137159346606945,6467,0.42137159346606945,0.0
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,original,0.4196427305542291,0.4196427305542291,6322,0.4196427305542291,0.0
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.41852796411876647,0.41852796411876647,6322,0.41852796411876647,0.0
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,original,original,-0.4068386379299707,0.4068386379299707,1685,0.4068386379299707,0.0
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.4007680313100134,0.4007680313100134,376,0.4007680313100134,0.0
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3985874938886093,0.3985874938886093,6620,0.3985874938886093,0.0
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,original,original,0.39820811799643885,0.39820811799643885,370,0.39820811799643885,0.0
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,original,0.39630811805104127,0.39630811805104127,6466,0.39630811805104127,0.0
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.37432541020273663,0.37432541020273663,6694,0.37432541020273663,0.0
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,original,0.37049071119460525,0.37049071119460525,415,0.37049071119460525,0.0
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,original,0.3683865428505843,0.3683865428505843,6466,0.3683865428505843,0.0
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,original,original,0.36596712191112835,0.36596712191112835,415,0.36596712191112835,0.0
2011-2012,BPXML1,BMXSAD1,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,original,0.3656479160578957,0.3656479160578957,6603,0.3656479160578957,0.0
2011-2012,BPXML1,BMXSAD2,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,original,original,0.36519074362942633,0.36519074362942633,6603,0.36519074362942633,0.0
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,original,0.36301573861576286,0.36301573861576286,6322,0.36301573861576286,0.0
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.36284725166721454,0.36284725166721454,6322,0.36284725166721454,0.0
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3616634872142854,0.3616634872142854,6843,0.3616634872142854,0.0
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.36157293433747867,0.36157293433747867,6534,0.36157293433747867,0.0
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,original,0.35994758889445067,0.35994758889445067,427,0.35994758889445067,0.0
2011-2012,BMXHT,BPXDI1,Standing Height (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.35714858800065274,0.35714858800065274,6694,0.35714858800065274,0.0
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,original,original,0.3570349960033366,0.3570349960033366,6532,0.3570349960033366,0.0
2011-2012,PAQ710,SMQ830,Hours watch TV or videos past 30 days,# days used nicotine quit smoking aids?,physical_activity,smoking,True,original,original,-0.35639053002135,0.35639053002135,32,0.35639053002135,0.0
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.35024961797753357,0.35024961797753357,6846,0.35024961797753357,0.0
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3500041733509116,0.3500041733509116,6610,0.3500041733509116,0.0
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,original,original,-0.34806946089461654,0.34806946089461654,61,0.34806946089461654,0.0
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3473598376342913,0.3473598376342913,6679,0.3473598376342913,0.0
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3462290151658714,0.3462290151658714,6455,0.3462290151658714,0.0
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3460024720977274,0.3460024720977274,6455,0.3460024720977274,0.0
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,original,original,-0.3448049189306861,0.3448049189306861,81,0.3448049189306861,0.0
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,original,original,0.34433240043958563,0.34433240043958563,67,0.34433240043958563,0.0
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,original,original,0.34102080259728473,0.34102080259728473,8124,0.34102080259728473,0.0
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.3409568870253039,0.3409568870253039,6684,0.3409568870253039,0.0
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.33683674495467236,0.33683674495467236,6853,0.33683674495467236,0.0
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,original,original,0.3365082670773893,0.3365082670773893,32,0.3365082670773893,0.0
2011-2012,BMXARML,BPXDI2,Upper Arm Length (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.33590404677011887,0.33590404677011887,6677,0.33590404677011887,0.0
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,original,0.335225637029223,0.335225637029223,6686,0.335225637029223,0.0
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,original,original,-0.33487793241617014,0.33487793241617014,32,0.33487793241617014,0.0
