cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,sqrt,-0.6942509547784176,0.6942509547784176,1785,0.696224093348917,-0.001973138570499411
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,sqrt,-0.6145775433003183,0.6145775433003183,1939,0.613043682852843,0.001533860447475277
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,sqrt,-0.5272544266175341,0.5272544266175341,1315,0.5276694612591444,-0.00041503464161030124
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,original,sqrt,0.47747530926852766,0.47747530926852766,338,0.6619682870245717,-0.184492977756044
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,sqrt,-0.46809879240689994,0.46809879240689994,1783,0.4685392715125565,-0.0004404791056565327
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,original,sqrt,0.4350856770435872,0.4350856770435872,7486,0.4465038746118304,-0.011418197568243194
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,sqrt,0.4330283802218615,0.4330283802218615,6467,0.42218579324475775,0.010842586977103774
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,sqrt,0.43210166013812495,0.43210166013812495,6467,0.42137159346606945,0.010730066672055505
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,sqrt,0.4309506679865448,0.4309506679865448,6322,0.41852796411876647,0.012422703867778329
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,sqrt,0.43057150925531057,0.43057150925531057,6322,0.4196427305542291,0.010928778701081443
