cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,original,square,0.6941735849478021,0.6941735849478021,338,0.6619682870245717,0.03220529792323046
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,square,-0.6887479322398149,0.6887479322398149,1785,0.696224093348917,-0.007476161109102097
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,original,square,0.6837297493812339,0.6837297493812339,745,0.6089118221976025,0.07481792718363134
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,square,-0.5997280071811218,0.5997280071811218,1939,0.613043682852843,-0.013315675671721205
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,square,-0.5234799499432229,0.5234799499432229,1315,0.5276694612591444,-0.00418951131592149
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,original,square,-0.46170956726095436,0.46170956726095436,1783,0.4685392715125565,-0.00682970425160212
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,original,square,-0.4063168739357715,0.4063168739357715,1685,0.4068386379299707,-0.0005217639941992314
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3944638922448918,0.3944638922448918,6467,0.42218579324475775,-0.027721900999865934
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3938874466786021,0.3938874466786021,6467,0.42137159346606945,-0.027484146787467356
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,original,square,0.3921109838714359,0.3921109838714359,6322,0.4196427305542291,-0.027531746682793234
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.38751611492720806,0.38751611492720806,6322,0.41852796411876647,-0.031011849191558416
2011-2012,PAQ710,SMQ830,Hours watch TV or videos past 30 days,# days used nicotine quit smoking aids?,physical_activity,smoking,True,original,square,-0.37683916929089056,0.37683916929089056,32,0.35639053002135,0.020448639269540547
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3748667030461184,0.3748667030461184,6694,0.37432541020273663,0.0005412928433817799
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3715043390125468,0.3715043390125468,6322,0.36284725166721454,0.00865708734533227
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,original,square,0.37042954411295115,0.37042954411295115,6466,0.39630811805104127,-0.02587857393809012
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3698033794896161,0.3698033794896161,6620,0.3985874938886093,-0.0287841143989932
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3695128744550898,0.3695128744550898,6843,0.3616634872142854,0.007849387240804417
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.36690901276707616,0.36690901276707616,376,0.4007680313100134,-0.033859018542937214
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,original,square,0.3634125212095704,0.3634125212095704,370,0.39820811799643885,-0.034795596786868443
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.36186307891107006,0.36186307891107006,6455,0.3460024720977274,0.01586060681334267
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3618149661689336,0.3618149661689336,6455,0.3462290151658714,0.015585951003062204
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.36078069033099514,0.36078069033099514,6610,0.3500041733509116,0.010776516980083528
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,original,square,0.3599936168677826,0.3599936168677826,6534,0.36157293433747867,-0.0015793174696960843
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,original,square,0.35895645446260777,0.35895645446260777,32,0.3365082670773893,0.022448187385218477
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,original,square,0.35849480260678296,0.35849480260678296,7486,0.4465038746118304,-0.08800907200504743
