cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,inverse,0.6665263602659975,0.6665263602659975,1785,0.696224093348917,-0.029697733082919453
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,inverse,0.6451513431611259,0.6451513431611259,1939,0.613043682852843,0.032107660308282826
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,inverse,0.5172603197093751,0.5172603197093751,1315,0.5276694612591444,-0.01040914154976924
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.46985305469917354,0.46985305469917354,6322,0.41852796411876647,0.05132509058040707
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,inverse,0.4680557798334289,0.4680557798334289,1783,0.4685392715125565,-0.00048349167912759006
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.4665864230841605,0.4665864230841605,6467,0.42218579324475775,0.04440062983940274
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.4653411824103746,0.4653411824103746,6467,0.42137159346606945,0.04396958894430514
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.4645380089439887,0.4645380089439887,370,0.39820811799643885,0.06632989094754987
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.4642212177779772,0.4642212177779772,6322,0.4196427305542291,0.044578487223748076
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.46030798832935643,0.46030798832935643,376,0.4007680313100134,0.05953995701934306
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,sqrt,inverse,-0.4486831491151212,0.4486831491151212,33,0.2252308092129322,0.223452339902189
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.44665216917319395,0.44665216917319395,6620,0.3985874938886093,0.048064675284584635
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.4415357288150573,0.4415357288150573,6466,0.39630811805104127,0.045227610764016046
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.41522106970047684,0.41522106970047684,415,0.37049071119460525,0.04473035850587159
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.41167103689934625,0.41167103689934625,415,0.36596712191112835,0.04570391498821791
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.40929803392267694,0.40929803392267694,6853,0.33683674495467236,0.07246128896800458
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.4079363422192118,0.4079363422192118,6694,0.3263123422644561,0.08162399995475572
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.4059333786017395,0.4059333786017395,427,0.35994758889445067,0.04598578970728884
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,sqrt,inverse,0.4032284601525529,0.4032284601525529,1685,0.4068386379299707,-0.003610177777417789
2011-2012,BPXML1,BMXSAD1,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.39924029260763233,0.39924029260763233,6603,0.3656479160578957,0.033592376549736624
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.39919944581829325,0.39919944581829325,6534,0.33056293245460466,0.06863651336368859
2011-2012,BPXML1,BMXSAD2,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.39871139570786673,0.39871139570786673,6603,0.36519074362942633,0.033520652078440405
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.39667335553839767,0.39667335553839767,6686,0.335225637029223,0.06144771850917469
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.39478847805708,0.39478847805708,6684,0.3409568870253039,0.053831591031776094
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.392445349133371,0.392445349133371,6532,0.33221034612960876,0.06023500300376222
2011-2012,PAD630,SMQ670,Minutes moderate-intensity work,Tried to quit smoking,physical_activity,smoking,True,sqrt,inverse,0.38750156215009246,0.38750156215009246,38,0.17122484962350557,0.2162767125265869
2011-2012,SMQ710,URXHPM,# days smoked cigarettes last 5 days,N-Ace-S-(3-Hydroxypropyl)-L-Cys(ng/mL),smoking,laboratory,True,sqrt,inverse,-0.3749909248516355,0.3749909248516355,805,0.23508933577070842,0.13990158908092706
2011-2012,BPXML1,BMXWAIST,MIL: maximum inflation levels (mm Hg),Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.3745875009509229,0.3745875009509229,6761,0.3286226455011095,0.045964855449813435
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.36648174044715304,0.36648174044715304,6466,0.3683865428505843,-0.0019048024034312716
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,sqrt,inverse,-0.3663046654205982,0.3663046654205982,6682,0.3015749534523539,0.06472971196824429
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.3612548706640813,0.3612548706640813,6322,0.36301573861576286,-0.0017608679516815662
2011-2012,BMXBMI,BPXSY3,Body Mass Index (kg/m**2),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.36109729554909015,0.36109729554909015,6842,0.3057030820951946,0.05539421345389556
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.35614748223772336,0.35614748223772336,6532,0.3570349960033366,-0.0008875137656132459
2011-2012,BPXSY4,BMXWT,Systolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,sqrt,inverse,-0.34923049436361986,0.34923049436361986,443,0.28817016837989723,0.06106032598372263
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,sqrt,inverse,0.3444364470750388,0.3444364470750388,61,0.34806946089461654,-0.0036330138195777573
2011-2012,SMQ800,BMXSAD1,#days used chewing tobacco -last 5 days,Sagittal Abdominal Diameter 1st (cm),smoking,body_measures,True,sqrt,inverse,-0.3423446047104928,0.3423446047104928,59,0.31137520296160315,0.030969401748889624
2011-2012,BPXSY4,BMXARMC,Systolic: Blood pres (4th rdg) mm Hg,Arm Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.3408931873635206,0.3408931873635206,430,0.29499075216557424,0.045902435197946345
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,sqrt,inverse,0.33872933614783085,0.33872933614783085,81,0.3448049189306861,-0.006075582782855249
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,sqrt,inverse,0.33812781473309955,0.33812781473309955,32,0.33487793241617014,0.003249882316929409
2011-2012,BPXSY4,BMXBMI,Systolic: Blood pres (4th rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,sqrt,inverse,-0.3381185326824654,0.3381185326824654,442,0.27024928886416316,0.06786924381830223
2011-2012,URXMU4,BMXSAD3,"1,3-dimethyluric acid (umol/L)",Sagittal Abdominal Diameter 3rd (cm),laboratory,body_measures,True,sqrt,inverse,-0.337716762668876,0.337716762668876,117,0.21939708179524411,0.1183196808736319
2011-2012,SMQ800,BMXWAIST,#days used chewing tobacco -last 5 days,Waist Circumference (cm),smoking,body_measures,True,sqrt,inverse,-0.3294469265734172,0.3294469265734172,61,0.2810418442616247,0.04840508231179247
2011-2012,BMXSAD2,SMQ800,Sagittal Abdominal Diameter 2nd (cm),#days used chewing tobacco -last 5 days,body_measures,smoking,True,sqrt,inverse,-0.3257914004554979,0.3257914004554979,59,0.3200241273375962,0.005767273117901706
2011-2012,BPXSY4,BMXARML,Systolic: Blood pres (4th rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.32454528897115437,0.32454528897115437,430,0.2949753789106913,0.029569910060463056
2011-2012,BPXSY4,LBXTT3,Systolic: Blood pres (4th rdg) mm Hg,"Triiodothyronine (T3), total (ng/dL)",blood_pressure,laboratory,True,sqrt,inverse,0.32186209666775895,0.32186209666775895,119,0.30862824080366696,0.013233855864091981
2011-2012,BPXDI1,BMXBMI,Diastolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,sqrt,inverse,-0.3207088250965463,0.3207088250965463,6682,0.3000255534085994,0.020683271687946925
2011-2012,BPXML1,BMXARML,MIL: maximum inflation levels (mm Hg),Upper Arm Length (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.31974644318129575,0.31974644318129575,6831,0.28697135336770035,0.03277508981359539
2011-2012,BPXML1,BMXARMC,MIL: maximum inflation levels (mm Hg),Arm Circumference (cm),blood_pressure,body_measures,True,sqrt,inverse,-0.31410481440516624,0.31410481440516624,6832,0.28522547363574985,0.028879340769416395
2011-2012,ALQ130,SMQ800,Avg # alcoholic drinks/day - past 12 mos,#days used chewing tobacco -last 5 days,alcohol,smoking,True,sqrt,inverse,0.31389701841342,0.31389701841342,47,0.28863229426740833,0.025264724146011663
2011-2012,BMXHT,BPXSY3,Standing Height (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,inverse,-0.3104898764681455,0.3104898764681455,6854,0.25212626038876884,0.05836361607937668
