cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,log,-0.6923411171577099,0.6923411171577099,1785,0.696224093348917,-0.0038829761912071437
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,log,-0.666649976995932,0.666649976995932,1939,0.613043682852843,0.05360629414308893
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,log,-0.5273110715894928,0.5273110715894928,1315,0.5276694612591444,-0.00035838966965162644
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,log,-0.48350135071298656,0.48350135071298656,1783,0.4685392715125565,0.014962079200430078
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.4536698438553825,0.4536698438553825,6322,0.41852796411876647,0.03514187973661603
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.4533843733579423,0.4533843733579423,6467,0.42218579324475775,0.03119858011318455
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,log,0.4532281589763779,0.4532281589763779,6322,0.4196427305542291,0.03358542842214879
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.4523411856812683,0.4523411856812683,6467,0.42137159346606945,0.03096959221519885
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,sqrt,log,0.4454661813609374,0.4454661813609374,370,0.39820811799643885,0.04725806336449856
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.44040892411348825,0.44040892411348825,376,0.4007680313100134,0.03964089280347488
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.4311261611578266,0.4311261611578266,6620,0.3985874938886093,0.03253866726921728
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,log,0.4301165525816821,0.4301165525816821,6466,0.39630811805104127,0.03380843453064081
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,sqrt,log,-0.4216474791066244,0.4216474791066244,1685,0.4068386379299707,0.014808841176653709
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,log,0.403802491357569,0.403802491357569,415,0.37049071119460525,0.03331178016296377
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,log,0.39949463336999913,0.39949463336999913,415,0.36596712191112835,0.033527511458870785
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,log,0.39439917334003205,0.39439917334003205,427,0.35994758889445067,0.034451584445581385
2011-2012,BPXML1,BMXSAD1,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,log,0.3888324626316573,0.3888324626316573,6603,0.3656479160578957,0.023184546573761622
2011-2012,BPXML1,BMXSAD2,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,log,0.3883495851590165,0.3883495851590165,6603,0.36519074362942633,0.02315884152959019
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.3855465750531396,0.3855465750531396,6853,0.33683674495467236,0.048709830098467244
2011-2012,BMXWAIST,URXMU4,Waist Circumference (cm),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,sqrt,log,0.3846984144926774,0.3846984144926774,2286,0.05918311486071693,0.32551529963196046
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.3803313924127955,0.3803313924127955,6694,0.3263123422644561,0.05401905014833941
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.3737199799077167,0.3737199799077167,6686,0.335225637029223,0.03849434287849374
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.3729181118905674,0.3729181118905674,6534,0.33056293245460466,0.04235517943596273
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.37242831045639846,0.37242831045639846,6684,0.3409568870253039,0.03147142343109455
2011-2012,BMXWT,URXMU4,Weight (kg),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,sqrt,log,0.3684234838011652,0.3684234838011652,2374,0.06307390183786205,0.30534958196330314
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,log,0.36689872620347574,0.36689872620347574,6532,0.33221034612960876,0.03468838007386699
2011-2012,BPXML1,BMXWAIST,MIL: maximum inflation levels (mm Hg),Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,log,0.36394951202154185,0.36394951202154185,6761,0.3286226455011095,0.035326866520432376
2011-2012,SMQ800,PAD630,#days used chewing tobacco -last 5 days,Minutes moderate-intensity work,smoking,physical_activity,True,sqrt,log,0.3615076945566274,0.3615076945566274,33,0.2252308092129322,0.1362768853436952
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,sqrt,log,-0.3503020885954235,0.3503020885954235,61,0.34806946089461654,0.002232627700806955
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,log,0.34825450648071904,0.34825450648071904,6466,0.3683865428505843,-0.02013203636986527
2011-2012,BMXARMC,URXMU4,Arm Circumference (cm),"1,3-dimethyluric acid (umol/L)",body_measures,laboratory,True,sqrt,log,0.3480789125159206,0.3480789125159206,2312,0.054432287891283786,0.2936466246246368
2011-2012,SMQ710,URXHPM,# days smoked cigarettes last 5 days,N-Ace-S-(3-Hydroxypropyl)-L-Cys(ng/mL),smoking,laboratory,True,sqrt,log,0.34671588297528083,0.34671588297528083,805,0.23508933577070842,0.11162654720457241
2011-2012,BPXSY1,BMXBMI,Systolic: Blood pres (1st rdg) mm Hg,Body Mass Index (kg/m**2),blood_pressure,body_measures,True,sqrt,log,0.3460314766215881,0.3460314766215881,6682,0.3015749534523539,0.04445652316923421
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,sqrt,log,0.34575060398886776,0.34575060398886776,6532,0.3570349960033366,-0.011284392014468847
