cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,original,-0.7028533396171394,0.7028533396171394,1785,0.696224093348917,0.006629246268222366
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,original,-0.6727219074911671,0.6727219074911671,1939,0.613043682852843,0.05967822463832406
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,original,-0.5303065941409669,0.5303065941409669,1315,0.5276694612591444,0.002637132881822546
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,sqrt,original,0.5206827531056457,0.5206827531056457,338,0.6619682870245717,-0.14128553391892595
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,original,-0.4880428761243024,0.4880428761243024,1783,0.4685392715125565,0.01950360461174594
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,sqrt,original,0.43570100821498764,0.43570100821498764,7486,0.4465038746118304,-0.010802866396842747
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.432320583803867,0.432320583803867,6467,0.42218579324475775,0.010134790559109264
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,original,0.432209069979528,0.432209069979528,6322,0.4196427305542291,0.01256633942529889
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,sqrt,original,-0.4318152013946367,0.4318152013946367,1685,0.4068386379299707,0.02497656346466598
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.43149839183600286,0.43149839183600286,6467,0.42137159346606945,0.01012679836993341
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.4294306534407504,0.4294306534407504,6322,0.41852796411876647,0.010902689321983905
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,sqrt,original,0.4162434295385501,0.4162434295385501,370,0.39820811799643885,0.018035311542111243
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,sqrt,original,0.41483117774478456,0.41483117774478456,745,0.6089118221976025,-0.19408064445281797
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.4127966421606963,0.4127966421606963,376,0.4007680313100134,0.012028610850682908
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,original,0.41002493200940415,0.41002493200940415,6466,0.39630811805104127,0.013716813958362883
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.4082866627741324,0.4082866627741324,6620,0.3985874938886093,0.00969916888552308
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.3985809545196993,0.3985809545196993,6694,0.37432541020273663,0.024255544316962696
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.38485025467204115,0.38485025467204115,6843,0.3616634872142854,0.023186767457755775
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,original,0.38149452656571015,0.38149452656571015,415,0.37049071119460525,0.011003815371104897
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,original,0.37698257365512333,0.37698257365512333,415,0.36596712191112835,0.011015451743994986
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.37528304845700095,0.37528304845700095,6322,0.36284725166721454,0.012435796789786402
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,original,0.37283958288076874,0.37283958288076874,6534,0.36157293433747867,0.01126664854329007
