cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,sqrt,-0.6995253663127448,0.6995253663127448,1785,0.696224093348917,0.0033012729638277616
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,sqrt,-0.6716109148543322,0.6716109148543322,1939,0.613043682852843,0.05856723200148917
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,sqrt,-0.5296776665088242,0.5296776665088242,1315,0.5276694612591444,0.0020082052496798175
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,sqrt,-0.48713255854548193,0.48713255854548193,1783,0.4685392715125565,0.018593287032925454
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,sqrt,sqrt,0.4458624407725565,0.4458624407725565,7486,0.4465038746118304,-0.0006414338392738972
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.4438688799399744,0.4438688799399744,6322,0.4196427305542291,0.0242261493857453
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.4438595232672741,0.4438595232672741,6467,0.42218579324475775,0.02167373002251638
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.4429247308941545,0.4429247308941545,6467,0.42137159346606945,0.021553137428085067
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.4425796403556009,0.4425796403556009,6322,0.41852796411876647,0.024051676236834407
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.43195202531335936,0.43195202531335936,370,0.39820811799643885,0.03374390731692051
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,sqrt,sqrt,-0.42777045034981886,0.42777045034981886,1685,0.4068386379299707,0.02093181241984815
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.42754188278897926,0.42754188278897926,376,0.4007680313100134,0.026773851478965882
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.42108247248599184,0.42108247248599184,6466,0.39630811805104127,0.024774354434950574
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.4206274237602033,0.4206274237602033,6620,0.3985874938886093,0.022039929871593977
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.39383229861785896,0.39383229861785896,415,0.37049071119460525,0.023341587423253707
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.3893676806793192,0.3893676806793192,415,0.36596712191112835,0.02340055876819086
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.38461698010560136,0.38461698010560136,427,0.35994758889445067,0.024669391211150693
2011-2012,BPXML1,BMXSAD1,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.38020476475788906,0.38020476475788906,6603,0.3656479160578957,0.014556848699993352
2011-2012,BPXML1,BMXSAD2,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.37972926839410204,0.37972926839410204,6603,0.36519074362942633,0.014538524764675709
2011-2012,BMXWT,BPXSY3,Weight (kg),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.37114310657897603,0.37114310657897603,6853,0.33683674495467236,0.03430636162430367
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,sqrt,sqrt,0.3649762054072972,0.3649762054072972,338,0.6619682870245717,-0.2969920816172745
2011-2012,BMXWT,BPXSY1,Weight (kg),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.3640179655464065,0.3640179655464065,6694,0.3263123422644561,0.03770562328195037
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,sqrt,sqrt,0.3617103891511858,0.3617103891511858,8124,0.34102080259728473,0.020689586553901074
2011-2012,BMXARMC,BPXSY3,Arm Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.35985757994255735,0.35985757994255735,6686,0.335225637029223,0.02463194291333437
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.3598270415228252,0.3598270415228252,6694,0.37432541020273663,-0.014498368679911444
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.3590091046795127,0.3590091046795127,6684,0.3409568870253039,0.01805221765420878
2011-2012,BMXARMC,BPXSY1,Arm Circumference (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.3573788096417434,0.3573788096417434,6534,0.33056293245460466,0.026815877187138737
2011-2012,BPXML1,BMXWAIST,MIL: maximum inflation levels (mm Hg),Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,sqrt,0.35570906326537577,0.35570906326537577,6761,0.3286226455011095,0.02708641776426629
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,sqrt,sqrt,-0.3530639940654086,0.3530639940654086,61,0.34806946089461654,0.00499453317079207
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,sqrt,0.3519710324974248,0.3519710324974248,6532,0.33221034612960876,0.019760686367816027
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,sqrt,sqrt,0.3453638443241462,0.3453638443241462,67,0.34433240043958563,0.0010314438845605567
