cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,square,-0.6980193753337588,0.6980193753337588,1785,0.696224093348917,0.0017952819848418011
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,square,-0.6637807270629845,0.6637807270629845,1939,0.613043682852843,0.05073704421014147
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,sqrt,square,0.5513538454976289,0.5513538454976289,338,0.6619682870245717,-0.11061444152694277
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,square,-0.5265082259214551,0.5265082259214551,1315,0.5276694612591444,-0.0011612353376893036
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,sqrt,square,-0.48188065261965474,0.48188065261965474,1783,0.4685392715125565,0.01334138110709826
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,sqrt,square,0.47251194337493135,0.47251194337493135,745,0.6089118221976025,-0.13639987882267118
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,sqrt,square,-0.4337430906526802,0.4337430906526802,1685,0.4068386379299707,0.02690445272270947
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.4031664509236049,0.4031664509236049,6467,0.42218579324475775,-0.01901934232115282
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,square,0.4031553161037166,0.4031553161037166,6322,0.4196427305542291,-0.01648741445051255
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.4025791531494014,0.4025791531494014,6467,0.42137159346606945,-0.018792440316668046
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.39694187840989864,0.39694187840989864,6322,0.41852796411876647,-0.02158608570886783
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.39352413206138265,0.39352413206138265,6694,0.37432541020273663,0.019198721858646017
2011-2012,BMXWT,BPXDI2,Weight (kg),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.38704128768499163,0.38704128768499163,6843,0.3616634872142854,0.025377800470706258
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,sqrt,square,0.38270513866903,0.38270513866903,6466,0.39630811805104127,-0.013602979382011271
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3814118198400896,0.3814118198400896,6322,0.36284725166721454,0.01856456817287505
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,sqrt,square,0.3800330617717825,0.3800330617717825,370,0.39820811799643885,-0.018175056224656372
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3781895881669321,0.3781895881669321,6620,0.3985874938886093,-0.020397905721677212
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.37795184778745083,0.37795184778745083,376,0.4007680313100134,-0.02281618352256254
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3710061245472508,0.3710061245472508,6455,0.3460024720977274,0.025003652449523406
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.37096249643487833,0.37096249643487833,6455,0.3462290151658714,0.02473348126900693
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3700719005182161,0.3700719005182161,6610,0.3500041733509116,0.020067727167304483
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3688925428476851,0.3688925428476851,6534,0.36157293433747867,0.00731960851020641
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,sqrt,square,0.3618725647488965,0.3618725647488965,32,0.3365082670773893,0.02536429767150722
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,sqrt,square,-0.3607436020121644,0.3607436020121644,61,0.34806946089461654,0.012674141117547832
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,sqrt,square,0.3587607282806989,0.3587607282806989,6679,0.3473598376342913,0.011400890646407591
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,sqrt,square,0.3514381222739147,0.3514381222739147,415,0.37049071119460525,-0.01905258892069056
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,sqrt,square,0.3470595602536034,0.3470595602536034,415,0.36596712191112835,-0.01890756165752494
