cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,inverse,0.6536149077102646,0.6536149077102646,1785,0.696224093348917,-0.04260918563865235
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,inverse,0.5102335218362034,0.5102335218362034,1315,0.5276694612591444,-0.01743593942294097
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,inverse,0.4477666897183954,0.4477666897183954,1939,0.613043682852843,-0.16527699313444766
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.4231203152828146,0.4231203152828146,6322,0.41852796411876647,0.004592351164048103
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.4225829163854301,0.4225829163854301,6467,0.42218579324475775,0.0003971231406723619
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.4213740716994733,0.4213740716994733,6467,0.42137159346606945,2.478233403824248e-06
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.4134271595294502,0.4134271595294502,376,0.4007680313100134,0.012659128219436822
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,inverse,-0.4126231126589238,0.4126231126589238,6322,0.4196427305542291,-0.007019617895305308
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,inverse,0.4094870334184306,0.4094870334184306,1783,0.4685392715125565,-0.05905223809412585
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,inverse,-0.40519244736226684,0.40519244736226684,6620,0.3985874938886093,0.006604953473657527
