cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,log,-0.6718363437623183,0.6718363437623183,1785,0.696224093348917,-0.024387749586598728
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,log,-0.5188579623306802,0.5188579623306802,1315,0.5276694612591444,-0.008811498928464223
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,log,-0.45363845605191383,0.45363845605191383,1939,0.613043682852843,-0.15940522680092922
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,log,-0.42105962354221804,0.42105962354221804,1783,0.4685392715125565,-0.047479647970338434
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.4130810375756263,0.4130810375756263,6467,0.42218579324475775,-0.009104755669131437
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.4120593213807661,0.4120593213807661,6467,0.42137159346606945,-0.00931227208530333
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.41089876344282433,0.41089876344282433,6322,0.41852796411876647,-0.007629200675942138
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,log,0.4050931519815957,0.4050931519815957,6322,0.4196427305542291,-0.014549578572633448
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.3963014463702988,0.3963014463702988,376,0.4007680313100134,-0.00446658493971458
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.3930359816982049,0.3930359816982049,6620,0.3985874938886093,-0.005551512190404395
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,log,0.39059259031508836,0.39059259031508836,6466,0.3683865428505843,0.022206047464504053
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,log,0.3898790886245296,0.3898790886245296,6322,0.36301573861576286,0.026863350008766718
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,log,0.3835772269209235,0.3835772269209235,370,0.39820811799643885,-0.014630891075515351
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,log,0.37963216196519317,0.37963216196519317,6466,0.39630811805104127,-0.016675956085848098
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,square,log,-0.37729051247890344,0.37729051247890344,81,0.3448049189306861,0.03248559354821734
2011-2012,SMQ710,URXHPM,# days smoked cigarettes last 5 days,N-Ace-S-(3-Hydroxypropyl)-L-Cys(ng/mL),smoking,laboratory,True,square,log,0.36454955869353534,0.36454955869353534,805,0.23508933577070842,0.1294602229228269
2011-2012,ALQ130,SMQ800,Avg # alcoholic drinks/day - past 12 mos,#days used chewing tobacco -last 5 days,alcohol,smoking,True,square,log,-0.3603357786793353,0.3603357786793353,47,0.28863229426740833,0.07170348441192698
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,log,0.36003940811115254,0.36003940811115254,6684,0.3409568870253039,0.019082521085848625
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,log,0.35938678029934046,0.35938678029934046,415,0.37049071119460525,-0.01110393089526479
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,log,0.3552715341846414,0.3552715341846414,415,0.36596712191112835,-0.010695587726486933
