cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,original,0.6768999681166885,0.6768999681166885,338,0.6619682870245717,0.014931681092116844
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,original,-0.6746278659413233,0.6746278659413233,1785,0.696224093348917,-0.021596227407593704
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,original,0.6318561314312126,0.6318561314312126,745,0.6089118221976025,0.022944309233610016
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,original,-0.5205635119412698,0.5205635119412698,1315,0.5276694612591444,-0.00710594931787456
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,original,-0.44822978757302506,0.44822978757302506,1939,0.613043682852843,-0.164813895279818
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,original,-0.4228229809191189,0.4228229809191189,1783,0.4685392715125565,-0.04571629059343757
2011-2012,PAQ710,SMQ830,Hours watch TV or videos past 30 days,# days used nicotine quit smoking aids?,physical_activity,smoking,True,square,original,-0.4099456695196844,0.4099456695196844,32,0.35639053002135,0.0535551394983344
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3961951614542478,0.3961951614542478,6467,0.42218579324475775,-0.02599063179050992
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.39539124617310417,0.39539124617310417,6467,0.42137159346606945,-0.025980347292965278
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3910475729654343,0.3910475729654343,6322,0.41852796411876647,-0.027480391153332173
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,original,0.3883404049407473,0.3883404049407473,6322,0.4196427305542291,-0.03130232561348184
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3740477540698546,0.3740477540698546,6620,0.3985874938886093,-0.024539739818754736
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,original,0.37283435735543197,0.37283435735543197,6466,0.3683865428505843,0.004447814504847658
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.37172493263029766,0.37172493263029766,376,0.4007680313100134,-0.029043098679715718
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,original,0.3716973120442241,0.3716973120442241,6322,0.36301573861576286,0.008681573428461264
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,square,original,0.36373255407305083,0.36373255407305083,7486,0.4465038746118304,-0.08277132053877956
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,original,0.3634105787355627,0.3634105787355627,6466,0.39630811805104127,-0.03289753931547856
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,original,0.3582254317337356,0.3582254317337356,370,0.39820811799643885,-0.03998268626270324
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,square,original,-0.35180091091196025,0.35180091091196025,81,0.3448049189306861,0.006995991981274152
2011-2012,PAQ710,SMQ670,Hours watch TV or videos past 30 days,Tried to quit smoking,physical_activity,smoking,True,square,original,0.3509954057838374,0.3509954057838374,122,0.25866721253582275,0.09232819324801467
2011-2012,BMXHT,BPXDI1,Standing Height (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3479900561253658,0.3479900561253658,6694,0.35714858800065274,-0.009158531875286924
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,square,original,0.3443324004395856,0.3443324004395856,67,0.34433240043958563,-5.551115123125783e-17
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,original,0.3415383451818778,0.3415383451818778,415,0.37049071119460525,-0.028952366012727437
2011-2012,BMXHT,BPXDI2,Standing Height (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.34104882504547307,0.34104882504547307,6846,0.35024961797753357,-0.009200792932060498
2011-2012,BPXDI1,BMXARML,Diastolic: Blood pres (1st rdg) mm Hg,Upper Arm Length (cm),blood_pressure,body_measures,True,square,original,0.340922613827646,0.340922613827646,6532,0.3570349960033366,-0.01611238217569061
2011-2012,BPXDI4,BMXWAIST,Diastolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,original,0.3398739708259545,0.3398739708259545,427,0.3057387365094438,0.03413523431651072
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,square,original,0.3392953741578613,0.3392953741578613,8124,0.34102080259728473,-0.0017254284394234154
2011-2012,DR1TKCAL,BPXCHR,Energy (kcal),60 sec HR (30 sec HR * 2),dietary,blood_pressure,True,square,original,-0.33871601165628645,0.33871601165628645,1685,0.4068386379299707,-0.06812262627368426
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,original,0.3370852516498061,0.3370852516498061,415,0.36596712191112835,-0.028881870261322273
2011-2012,SMQ800,BMXLEG,#days used chewing tobacco -last 5 days,Upper Leg Length (cm),smoking,body_measures,True,square,original,-0.33686032310530284,0.33686032310530284,61,0.34806946089461654,-0.011209137789313706
2011-2012,BMXARMC,BPXDI1,Arm Circumference (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.33501761964737253,0.33501761964737253,6534,0.36157293433747867,-0.026555314690106135
2011-2012,BPXDI4,BMXWT,Diastolic: Blood pres (4th rdg) mm Hg,Weight (kg),blood_pressure,body_measures,True,square,original,0.33492108580176977,0.33492108580176977,443,0.31206921370530954,0.022851872096460224
2011-2012,BMXSAD2,BPXDI1,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.33451654140811193,0.33451654140811193,6322,0.36284725166721454,-0.02833071025910261
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3331286772799045,0.3331286772799045,6684,0.3409568870253039,-0.00782820974539944
2011-2012,BPXDI4,BMXSAD1,Diastolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,original,0.33304152655836733,0.33304152655836733,415,0.3087978953612319,0.024243631197135407
2011-2012,BPXDI4,BMXSAD2,Diastolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,original,0.3317265441304717,0.3317265441304717,415,0.3083687923415817,0.02335775178888999
2011-2012,SMQ830,PAQ620,# days used nicotine quit smoking aids?,Moderate work activity,smoking,physical_activity,True,square,original,-0.3298859141040032,0.3298859141040032,32,0.33487793241617014,-0.004992018312166946
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,square,original,0.32940754028302277,0.32940754028302277,32,0.3365082670773893,-0.007100726794366519
2011-2012,BPXSY4,BMXWAIST,Systolic: Blood pres (4th rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,original,0.32844483945488157,0.32844483945488157,427,0.35994758889445067,-0.0315027494395691
2011-2012,URXMU4,ALQ110,"1,3-dimethyluric acid (umol/L)",Had at least 12 alcohol drinks/lifetime?,laboratory,alcohol,True,square,original,0.324506413496551,0.324506413496551,422,0.19250418360430746,0.13200222989224356
2011-2012,BPXML1,BMXSAD3,MIL: maximum inflation levels (mm Hg),Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,original,0.3242549532184952,0.3242549532184952,387,0.3176490746085093,0.006605878609985905
2011-2012,BMXARML,BPXDI2,Upper Arm Length (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.32411374601633225,0.32411374601633225,6677,0.33590404677011887,-0.01179030075378662
2011-2012,BMXARML,BPXSY1,Upper Arm Length (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.32390510837294123,0.32390510837294123,6532,0.33221034612960876,-0.008305237756667527
2011-2012,BMXWAIST,BPXDI2,Waist Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.323529849277163,0.323529849277163,6610,0.3500041733509116,-0.026474324073748612
2011-2012,BMXARMC,BPXDI2,Arm Circumference (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3218435190047876,0.3218435190047876,6679,0.3473598376342913,-0.02551631862950371
2011-2012,BMXARML,SMQ830,Upper Arm Length (cm),# days used nicotine quit smoking aids?,body_measures,smoking,True,square,original,0.32095190216383757,0.32095190216383757,32,0.3127757422730815,0.00817615989075604
2011-2012,BPXDI1,BMXSAD3,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,original,0.3202687671047508,0.3202687671047508,370,0.30771348244138264,0.012555284663368138
2011-2012,BMXSAD1,BPXDI2,Sagittal Abdominal Diameter 1st (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3198695847097687,0.3198695847097687,6455,0.3462290151658714,-0.026359430456102728
2011-2012,BMXSAD2,BPXDI2,Sagittal Abdominal Diameter 2nd (cm),Diastolic: Blood pres (2nd rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3196962700264833,0.3196962700264833,6455,0.3460024720977274,-0.026306202071244067
2011-2012,BMXWT,BPXDI1,Weight (kg),Diastolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,original,0.3159456147159263,0.3159456147159263,6694,0.37432541020273663,-0.058379795486810326
