cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,sqrt,-0.6751423560499259,0.6751423560499259,1785,0.696224093348917,-0.0210817372989911
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,sqrt,-0.5205601994920974,0.5205601994920974,1315,0.5276694612591444,-0.007109261767046959
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,sqrt,0.49306418029344096,0.49306418029344096,338,0.6619682870245717,-0.1689041067311307
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,sqrt,-0.45229354104128316,0.45229354104128316,1939,0.613043682852843,-0.1607501418115599
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,sqrt,-0.4231550258081095,0.4231550258081095,1783,0.4685392715125565,-0.04538424570444699
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.40559385239838974,0.40559385239838974,6467,0.42218579324475775,-0.016591940846368003
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.40467751804858954,0.40467751804858954,6467,0.42137159346606945,-0.016694075417479914
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.40195760472910674,0.40195760472910674,6322,0.41852796411876647,-0.016570359389659728
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,sqrt,0.39778707308168837,0.39778707308168837,6322,0.4196427305542291,-0.021855657472540757
2011-2012,PAQ710,SMQ830,Hours watch TV or videos past 30 days,# days used nicotine quit smoking aids?,physical_activity,smoking,True,square,sqrt,-0.38515584713272205,0.38515584713272205,32,0.35639053002135,0.028765317111372035
2011-2012,BMXSAD3,BPXSY3,Sagittal Abdominal Diameter 3rd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.3849263896839334,0.3849263896839334,376,0.4007680313100134,-0.015841641626079983
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.38440925829859074,0.38440925829859074,6620,0.3985874938886093,-0.014178235590018573
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,sqrt,0.38319620473579263,0.38319620473579263,745,0.6089118221976025,-0.2257156174618099
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,sqrt,0.38251891472001837,0.38251891472001837,6466,0.3683865428505843,0.014132371869434057
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,sqrt,0.38163175284498757,0.38163175284498757,6322,0.36301573861576286,0.01861601422922471
2011-2012,BPXSY1,BMXWAIST,Systolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,sqrt,0.3724361887145739,0.3724361887145739,6466,0.39630811805104127,-0.023871929336467368
2011-2012,BPXSY1,BMXSAD3,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 3rd (cm),blood_pressure,body_measures,True,square,sqrt,0.37193428344192686,0.37193428344192686,370,0.39820811799643885,-0.026273834554511988
2011-2012,DPQ100,SMQ785,Difficulty these problems have caused,When did resp. smoke last cigar?,mental_health,smoking,True,square,sqrt,-0.3659419447598164,0.3659419447598164,81,0.3448049189306861,0.021137025829130296
2011-2012,BMXARML,DR1TKCAL,Upper Arm Length (cm),Energy (kcal),body_measures,dietary,True,square,sqrt,0.35173763168927397,0.35173763168927397,8124,0.34102080259728473,0.010716829091989233
2011-2012,BPXSY4,BMXSAD1,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,sqrt,0.3515328903327105,0.3515328903327105,415,0.37049071119460525,-0.018957820861894736
2011-2012,BMXARML,BPXSY3,Upper Arm Length (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,sqrt,0.3472888457075146,0.3472888457075146,6684,0.3409568870253039,0.006331958682210703
2011-2012,BPXSY4,BMXSAD2,Systolic: Blood pres (4th rdg) mm Hg,Sagittal Abdominal Diameter 2nd (cm),blood_pressure,body_measures,True,square,sqrt,0.3472020125369555,0.3472020125369555,415,0.36596712191112835,-0.01876510937417286
2011-2012,SMQ670,ALQ141Q,Tried to quit smoking,# days have 4/5 drinks - past 12 mos,smoking,alcohol,True,square,sqrt,0.3453638443241463,0.3453638443241463,67,0.34433240043958563,0.0010314438845606677
