cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,abs_correlation,n_samples,original_correlation,improvement
2011-2012,PAD615,PAQ640,Minutes vigorous-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,square,0.7072780470807188,0.7072780470807188,338,0.6619682870245717,0.045309760056147175
2011-2012,PAD630,PAQ640,Minutes moderate-intensity work,Number of days walk or bicycle,physical_activity,physical_activity,False,square,square,0.7064586415515504,0.7064586415515504,745,0.6089118221976025,0.09754681935394782
2011-2012,BMXARML,BPXCHR,Upper Arm Length (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,square,-0.6624968604784364,0.6624968604784364,1785,0.696224093348917,-0.03372723287048063
2011-2012,BMXHT,BPXCHR,Standing Height (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,square,-0.5156452283444662,0.5156452283444662,1315,0.5276694612591444,-0.012024232914678135
2011-2012,PAQ710,SMQ830,Hours watch TV or videos past 30 days,# days used nicotine quit smoking aids?,physical_activity,smoking,True,square,square,-0.438335449659031,0.438335449659031,32,0.35639053002135,0.08194491963768097
2011-2012,BMXWT,BPXCHR,Weight (kg),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,square,-0.43260844332077764,0.43260844332077764,1939,0.613043682852843,-0.18043523953206542
2011-2012,BMXARMC,BPXCHR,Arm Circumference (cm),60 sec HR (30 sec HR * 2),body_measures,blood_pressure,True,square,square,-0.4151242851020556,0.4151242851020556,1783,0.4685392715125565,-0.05341498641050085
2011-2012,URXMU4,ALQ110,"1,3-dimethyluric acid (umol/L)",Had at least 12 alcohol drinks/lifetime?,laboratory,alcohol,True,square,square,0.41368736297102765,0.41368736297102765,422,0.19250418360430746,0.2211831793667202
2011-2012,DR2TVB2,DR1TVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),dietary,dietary,False,square,square,0.3766483010430525,0.3766483010430525,7486,0.4465038746118304,-0.06985557356877786
2011-2012,BMXSAD1,BPXSY3,Sagittal Abdominal Diameter 1st (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,square,0.3715491011273543,0.3715491011273543,6467,0.42218579324475775,-0.05063669211740346
2011-2012,BMXSAD2,BPXSY3,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,square,0.3709873424144418,0.3709873424144418,6467,0.42137159346606945,-0.05038425105162764
2011-2012,BPXSY1,BMXSAD1,Systolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,square,0.36401615811258475,0.36401615811258475,6322,0.4196427305542291,-0.05562657244164437
2011-2012,BMXSAD2,BPXSY1,Sagittal Abdominal Diameter 2nd (cm),Systolic: Blood pres (1st rdg) mm Hg,body_measures,blood_pressure,True,square,square,0.36323097333930554,0.36323097333930554,6322,0.41852796411876647,-0.05529699077946093
2011-2012,PAQ710,SMQ670,Hours watch TV or videos past 30 days,Tried to quit smoking,physical_activity,smoking,True,square,square,0.3577532474563062,0.3577532474563062,122,0.25866721253582275,0.09908603492048346
2011-2012,BPXSY1,SMQ830,Systolic: Blood pres (1st rdg) mm Hg,# days used nicotine quit smoking aids?,blood_pressure,smoking,True,square,square,0.3522679103226127,0.3522679103226127,32,0.3365082670773893,0.015759643245223387
2011-2012,BPXDI1,BMXWAIST,Diastolic: Blood pres (1st rdg) mm Hg,Waist Circumference (cm),blood_pressure,body_measures,True,square,square,0.3494131642244509,0.3494131642244509,6466,0.3683865428505843,-0.018973378626133408
2011-2012,BMXWAIST,BPXSY3,Waist Circumference (cm),Systolic: Blood pres (3rd rdg) mm Hg,body_measures,blood_pressure,True,square,square,0.3481662172466756,0.3481662172466756,6620,0.3985874938886093,-0.05042127664193369
2011-2012,BPXDI1,BMXSAD1,Diastolic: Blood pres (1st rdg) mm Hg,Sagittal Abdominal Diameter 1st (cm),blood_pressure,body_measures,True,square,square,0.34775633115121735,0.34775633115121735,6322,0.36301573861576286,-0.015259407464545516
