variable name,variable explanation,cycle name,variable documentation link,cycle documentation link,cycle dataset link
AUXRR183,"Acoustic Reflex Right Ear, 1KHz, 83",1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.htm#AUXRR183,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.xpt
CIQP21Q,Fear: Going to a hospital,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21Q,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21P,Fear: Going to the dentist,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21P,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21O,Fear: Getting an injection,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21O,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21N,Fear: Seeing blood,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21N,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21M,Fear: Closed spaces,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21M,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21L,Fear: Flying,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21L,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21K,"Fear: Storms, thunder, lightening",1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21K,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21R,Fear: Other 1,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21R,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21J,Fear: Heights,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21J,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21H,Fear: Being in a public place,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21H,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
CIQP21G,"Fear:  Crowd, standing in line",1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm#CIQP21G,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/CIQPANIC.xpt
